elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.200,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.300,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.400,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.500,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.600,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.700,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.800,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
0.900,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.000,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.100,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.200,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.300,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.400,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.500,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.600,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.700,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.800,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
1.900,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
2.000,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
2.100,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
2.200,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
2.300,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
2.400,125.245,-132.237,-110.498,671.447,-437.349,-19.036,625.644,91.463
