elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.200,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.300,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.400,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.500,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.600,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.700,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.800,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
0.900,655.531,-346.660,-155.657,-277.698,-399.755,-101.258,934.738,54.399
1.000,677.925,-396.159,-155.657,-277.698,-399.755,-101.258,955.630,54.399
1.100,700.320,-445.658,-155.657,-277.698,-399.755,-101.258,979.094,54.399
1.200,722.714,-495.157,-155.657,-277.698,-399.755,-101.258,1004.951,54.399
1.300,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.400,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.500,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.600,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.700,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.800,730.179,-511.657,-155.657,-277.698,-399.755,-101.258,1014.070,54.399
1.900,715.249,-478.657,-155.657,-277.698,-399.755,-101.258,996.077,54.399
2.000,692.855,-429.158,-155.657,-277.698,-399.755,-101.258,970.998,54.399
2.100,670.460,-379.659,-155.657,-277.698,-399.755,-101.258,948.371,54.399
2.200,648.066,-330.160,-155.657,-277.698,-399.755,-101.258,928.376,54.399
2.300,633.136,-297.161,-155.657,-277.698,-399.755,-101.258,916.594,54.399
2.400,633.136,-297.161,-155.657,-277.698,-399.755,-101.258,916.594,54.399
2.500,633.136,-297.161,-155.657,-277.698,-399.755,-101.258,916.594,54.399
