elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.200,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.300,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.400,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.500,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.600,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.700,117.882,-328.052,-117.406,-245.307,169.218,105.032,615.778,137.562
0.800,154.835,-347.211,-117.406,-245.307,169.218,105.032,653.309,137.562
0.900,199.179,-370.203,-117.406,-245.307,169.218,105.032,698.958,137.562
1.000,243.523,-393.194,-117.406,-245.307,169.218,105.032,745.159,137.562
1.100,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.200,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.300,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.400,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.500,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.600,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.700,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.800,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
1.900,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.000,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.100,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.200,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.300,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.400,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.500,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.600,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
2.700,265.695,-404.690,-119.406,-245.307,169.218,105.032,768.435,135.562
2.800,265.695,-404.690,-129.406,-245.307,169.218,105.032,768.435,125.562
2.900,265.695,-404.690,-129.406,-245.307,169.218,105.032,768.435,125.562
3.000,265.695,-404.690,-117.406,-245.307,169.218,105.032,768.435,137.562
3.100,265.695,-404.690,-105.406,-245.307,169.218,105.032,768.435,149.562
3.200,265.695,-404.690,-93.406,-245.307,169.218,105.032,768.435,161.562
3.300,265.695,-404.690,-87.406,-245.307,169.218,105.032,768.435,167.562
3.400,265.695,-404.690,-87.406,-245.307,169.218,105.032,768.435,167.562
3.500,265.695,-404.690,-87.406,-245.307,169.218,105.032,768.435,167.562
3.600,265.695,-404.690,-87.406,-245.307,169.218,105.032,768.435,167.562
3.700,265.695,-404.690,-75.406,-245.307,169.218,105.032,768.435,179.562
3.800,265.695,-404.690,-65.406,-245.307,169.218,105.032,768.435,170.438
3.900,265.695,-404.690,-61.406,-245.307,169.218,105.032,768.435,166.438
4.000,265.695,-404.690,-61.406,-245.307,169.218,105.032,768.435,166.438
4.100,265.695,-404.690,-61.406,-245.307,169.218,105.032,768.435,166.438
4.200,265.695,-404.690,-51.406,-245.307,169.218,105.032,768.435,156.438
4.300,265.695,-404.690,-39.406,-245.307,169.218,105.032,768.435,144.438
4.400,265.695,-404.690,-31.406,-245.307,169.218,105.032,768.435,136.438
4.500,265.695,-404.690,-31.406,-245.307,169.218,105.032,768.435,136.438
4.600,265.695,-404.690,-31.406,-245.307,169.218,105.032,768.435,136.438
4.700,265.695,-404.690,-25.406,-245.307,169.218,105.032,768.435,130.438
4.800,265.695,-404.690,-13.406,-245.307,169.218,105.032,768.435,118.438
4.900,265.695,-404.690,-1.406,-245.307,169.218,105.032,768.435,106.438
5.000,265.695,-404.690,0.594,-245.307,169.218,105.032,768.435,104.438
5.100,265.695,-404.690,0.594,-245.307,169.218,105.032,768.435,104.438
5.200,265.695,-404.690,6.594,-245.307,169.218,105.032,768.435,98.438
5.300,265.695,-404.690,18.594,-245.307,169.218,105.032,768.435,86.438
5.400,265.695,-404.690,30.594,-245.307,169.218,105.032,768.435,74.438
5.500,265.695,-404.690,40.594,-245.307,169.218,105.032,768.435,64.438
5.600,265.695,-404.690,42.594,-245.307,169.218,105.032,768.435,62.438
5.700,243.158,-380.175,42.594,-245.307,169.218,105.032,735.140,62.438
5.800,210.438,-342.439,40.594,-245.307,169.218,105.032,685.198,64.438
5.900,177.936,-304.511,40.594,-245.307,169.218,105.032,635.258,64.438
6.000,145.433,-266.582,40.594,-245.307,169.218,105.032,585.320,64.438
6.100,112.931,-228.653,40.594,-245.307,169.218,105.032,535.383,64.438
6.200,80.428,-190.724,40.594,-245.307,169.218,105.032,485.450,64.438
6.300,47.926,-152.795,40.594,-245.307,169.218,105.032,435.520,64.438
6.400,15.423,-114.866,40.594,-245.307,169.218,105.032,385.596,64.438
6.500,-14.778,-75.166,32.594,-245.307,169.218,105.032,335.957,72.438
6.600,-36.588,-30.304,22.594,-245.307,169.218,105.032,288.743,82.438
6.700,-53.043,16.786,14.594,-245.307,169.218,105.032,245.358,90.438
6.800,-59.633,66.210,2.594,-245.307,169.218,105.032,212.333,102.438
6.900,-57.537,116.098,-3.406,-245.307,169.218,105.032,195.139,108.438
7.000,-55.849,149.352,2.594,-245.307,169.218,105.032,190.496,102.438
7.100,-55.849,149.352,10.594,-245.307,169.218,105.032,190.496,94.438
7.200,-55.849,149.352,20.594,-245.307,169.218,105.032,190.496,84.438
7.300,-55.849,149.352,28.594,-245.307,169.218,105.032,190.496,76.438
7.400,-55.849,149.352,26.594,-245.307,169.218,105.032,190.496,78.438
7.500,-55.849,149.352,24.594,-245.307,169.218,105.032,190.496,80.438
7.600,-76.638,194.770,24.594,-245.307,169.218,105.032,170.593,80.438
7.700,-83.568,209.909,24.594,-245.307,169.218,105.032,166.779,80.438
7.800,-83.568,209.909,28.594,-245.307,169.218,105.032,166.779,76.438
7.900,-83.568,209.909,40.594,-245.307,169.218,105.032,166.779,64.438
8.000,-83.568,209.909,50.594,-245.307,169.218,105.032,166.779,54.438
8.100,-83.568,209.909,62.594,-245.307,169.218,105.032,166.779,42.438
8.200,-83.568,209.909,70.594,-245.307,169.218,105.032,166.779,34.438
8.300,-83.568,209.909,70.594,-245.307,169.218,105.032,166.779,34.438
8.400,-83.568,209.909,78.594,-245.307,169.218,105.032,166.779,26.438
8.500,-83.568,209.909,90.594,-245.307,169.218,105.032,166.779,14.438
8.600,-83.568,209.909,102.594,-245.307,169.218,105.032,166.779,2.438
8.700,-83.568,209.909,102.594,-245.307,169.218,105.032,166.779,2.438
8.800,-83.568,209.909,104.594,-245.307,169.218,105.032,166.779,0.438
8.900,-83.568,209.909,104.594,-245.307,169.218,105.032,166.779,0.438
9.000,-107.737,203.616,104.594,-245.307,169.218,105.032,141.805,0.438
9.100,-156.075,191.030,104.594,-245.307,169.218,105.032,91.859,0.438
9.200,-204.413,178.444,104.594,-245.307,169.218,105.032,41.921,0.438
