elapsed_time,walker_posx,walker_posy,walker_rotz,shadow_posx,shadow_posy,shadow_rotz,distance,angle
0.100,749.745,-152.657,149.744,-325.510,405.764,101.678,1211.614,48.066
0.200,749.745,-152.657,149.744,-325.510,405.764,101.678,1211.614,48.066
0.300,749.745,-152.657,149.744,-325.510,405.764,101.678,1211.614,48.066
0.400,749.745,-152.657,149.744,-325.510,405.764,101.678,1211.614,48.066
0.500,749.745,-152.657,149.744,-325.510,405.764,101.678,1211.614,48.066
0.600,729.477,-187.402,149.744,-325.510,405.764,101.678,1210.307,48.066
0.700,699.075,-239.521,149.744,-325.510,405.764,101.678,1210.854,48.066
0.800,737.440,-273.543,149.744,-325.510,405.764,101.678,1261.475,48.066
0.900,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.000,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.100,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.200,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.300,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.400,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.500,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.600,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.700,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.800,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
1.900,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.000,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.100,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.200,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.300,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.400,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.500,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.600,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.700,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.800,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
2.900,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.000,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.100,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.200,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.300,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.400,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.500,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.600,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.700,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.800,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
3.900,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
4.000,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
4.100,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
4.200,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
4.300,772.186,-293.811,149.744,-325.510,405.764,101.678,1301.669,48.066
