elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-491.426,-159.733,-32.092,-755.981,-24.774,-54.770,296.990,22.678
0.200,-491.426,-159.733,-32.092,-755.981,-24.774,-54.770,296.990,22.678
0.300,-491.426,-159.733,-36.092,-755.981,-24.774,-54.770,296.990,18.678
0.400,-491.426,-159.733,-38.092,-755.981,-24.774,-54.770,296.990,16.678
0.500,-491.426,-159.733,-30.092,-755.981,-24.774,-54.770,296.990,24.678
0.600,-491.426,-159.733,-24.092,-755.981,-24.774,-54.770,296.990,30.678
0.700,-491.426,-159.733,-12.092,-755.981,-24.774,-54.770,296.990,42.678
0.800,-491.426,-159.733,-0.092,-755.981,-24.774,-54.770,296.990,54.678
0.900,-491.426,-159.733,3.908,-755.981,-24.774,-54.770,296.990,58.678
1.000,-491.426,-159.733,9.908,-755.981,-24.774,-54.770,296.990,64.678
1.100,-491.426,-159.733,21.908,-755.981,-24.774,-54.770,296.990,76.678
1.200,-491.426,-159.733,33.908,-755.981,-24.774,-54.770,296.990,88.678
1.300,-491.426,-159.733,45.908,-755.981,-24.774,-54.770,296.990,100.678
1.400,-491.426,-159.733,57.908,-755.981,-24.774,-54.770,296.990,112.678
1.500,-491.426,-159.733,69.908,-755.981,-24.774,-54.770,296.990,124.678
1.600,-491.426,-159.733,79.908,-755.981,-24.774,-54.770,296.990,134.678
1.700,-491.426,-159.733,83.908,-755.981,-24.774,-54.770,296.990,138.678
1.800,-491.426,-159.733,83.908,-755.981,-24.774,-54.770,296.990,138.678
1.900,-491.426,-159.733,83.908,-755.981,-24.774,-54.770,296.990,138.678
2.000,-491.426,-159.733,89.908,-755.981,-24.774,-54.770,296.990,144.678
2.100,-491.426,-159.733,101.908,-755.981,-24.774,-54.770,296.990,156.678
2.200,-491.426,-159.733,111.908,-755.981,-24.774,-54.770,296.990,166.678
2.300,-491.426,-159.733,113.908,-755.981,-24.774,-54.770,296.990,168.678
2.400,-491.426,-159.733,113.908,-755.981,-24.774,-54.770,296.990,168.678
2.500,-491.426,-159.733,109.908,-755.981,-24.774,-54.770,296.990,164.678
2.600,-491.426,-159.733,101.908,-755.981,-24.774,-54.770,296.990,156.678
2.700,-491.426,-159.733,99.908,-755.981,-24.774,-54.770,296.990,154.678
2.800,-491.426,-159.733,99.908,-755.981,-24.774,-54.770,296.990,154.678
2.900,-532.430,-166.895,99.908,-755.981,-24.774,-54.770,264.902,154.678
3.000,-581.635,-175.489,99.908,-755.981,-24.774,-54.770,230.459,154.678
3.100,-630.840,-184.084,99.908,-755.981,-24.774,-54.770,202.583,154.678
3.200,-680.395,-189.796,91.908,-755.981,-24.774,-54.770,181.508,146.678
3.300,-730.059,-185.370,79.908,-755.981,-24.774,-54.770,162.674,134.678
3.400,-777.823,-170.986,69.908,-755.981,-24.774,-54.770,147.835,124.678
3.500,-807.668,-149.841,59.908,-755.981,-24.774,-54.770,135.327,114.678
3.600,-807.668,-140.752,47.908,-755.981,-24.774,-54.770,126.974,102.678
3.700,-807.668,-140.752,37.908,-755.981,-24.774,-54.770,126.974,92.678
3.800,-807.668,-140.752,25.908,-755.981,-24.774,-54.770,126.974,80.678
3.900,-807.668,-140.752,15.908,-755.981,-24.774,-54.770,126.974,70.678
4.000,-807.668,-140.752,3.908,-755.981,-24.774,-54.770,126.974,58.678
4.100,-807.668,-140.752,-2.092,-755.981,-24.774,-54.770,126.974,52.678
4.200,-807.668,-140.752,-12.092,-755.981,-24.774,-54.770,126.974,42.678
4.300,-807.668,-140.752,-22.092,-755.981,-24.774,-54.770,126.974,32.678
4.400,-807.668,-140.752,-26.092,-755.981,-24.774,-54.770,126.974,28.678
4.500,-807.668,-140.752,-22.092,-755.981,-24.774,-54.770,126.974,32.678
4.600,-788.882,-94.469,-22.092,-755.981,-24.774,-54.770,77.071,32.678
4.700,-770.096,-48.186,-22.092,-755.981,-24.774,-54.770,27.338,32.678
4.800,-770.096,-48.186,-22.092,-755.981,-24.774,-54.770,27.338,32.678
4.900,-770.096,-48.186,-22.092,-755.981,-24.774,-54.770,27.338,32.678
5.000,-770.096,-48.186,-22.092,-755.981,-24.774,-54.770,27.338,32.678
5.100,-760.703,-25.045,-22.092,-755.981,-24.774,-54.770,4.730,32.678
5.200,-760.703,-25.045,-22.092,-755.981,-24.774,-54.770,4.730,32.678
5.300,-760.703,-25.045,-22.092,-755.981,-24.774,-54.770,4.730,32.678
5.400,-760.703,-25.045,-22.092,-755.981,-24.774,-54.770,4.730,32.678
5.500,-760.703,-25.045,-22.092,-755.981,-24.774,-54.770,4.730,32.678
5.600,-760.703,-25.045,-28.092,-755.981,-24.774,-54.770,4.730,26.678
5.700,-760.703,-25.045,-32.092,-755.981,-24.774,-54.770,4.730,22.678
5.800,-760.703,-25.045,-40.092,-755.981,-24.774,-54.770,4.730,14.678
