elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.200,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.300,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.400,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.500,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.600,-867.199,-295.818,145.095,68.924,263.859,142.824,1090.671,2.271
0.700,-867.199,-295.818,147.095,68.924,263.859,142.824,1090.671,4.271
0.800,-867.199,-295.818,139.095,68.924,263.859,142.824,1090.671,3.729
0.900,-867.199,-295.818,127.095,68.924,263.859,142.824,1090.671,15.729
1.000,-867.199,-295.818,115.095,68.924,263.859,142.824,1090.671,27.729
1.100,-867.199,-295.818,103.095,68.924,263.859,142.824,1090.671,39.729
1.200,-867.199,-295.818,91.095,68.924,263.859,142.824,1090.671,51.729
1.300,-867.199,-295.818,79.095,68.924,263.859,142.824,1090.671,63.729
1.400,-867.199,-295.818,69.095,68.924,263.859,142.824,1090.671,73.729
1.500,-867.199,-295.818,59.095,68.924,263.859,142.824,1090.671,83.729
1.600,-867.199,-295.818,49.095,68.924,263.859,142.824,1090.671,93.729
1.700,-867.199,-295.818,37.095,68.924,263.859,142.824,1090.671,105.729
1.800,-867.199,-295.818,25.095,68.924,263.859,142.824,1090.671,117.729
1.900,-867.199,-295.818,13.095,68.924,263.859,142.824,1090.671,129.729
2.000,-867.199,-295.818,1.095,68.924,263.859,142.824,1090.671,141.729
2.100,-867.199,-295.818,-10.905,68.924,263.859,142.824,1090.671,153.729
2.200,-867.199,-295.818,-14.905,68.924,263.859,142.824,1090.671,157.729
2.300,-867.199,-295.818,-14.905,68.924,263.859,142.824,1090.671,157.729
2.400,-867.199,-295.818,-16.905,68.924,263.859,142.824,1090.671,159.729
2.500,-867.199,-295.818,-28.905,68.924,263.859,142.824,1090.671,171.729
2.600,-867.199,-295.818,-40.905,68.924,263.859,142.824,1090.671,176.271
