elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-433.824,-278.989,-12.186,95.830,252.580,134.321,750.399,146.508
0.200,-433.824,-278.989,-12.186,95.830,252.580,134.321,750.399,146.508
0.300,-433.824,-278.989,-12.186,95.830,252.580,134.321,750.399,146.508
0.400,-433.824,-278.989,-6.186,95.830,252.580,134.321,750.399,140.508
0.500,-433.824,-278.989,1.814,95.830,252.580,134.321,750.399,132.508
0.600,-433.824,-278.989,-8.186,95.830,252.580,134.321,750.399,142.508
0.700,-433.824,-278.989,-18.186,95.830,252.580,134.321,750.399,152.508
0.800,-433.824,-278.989,-30.186,95.830,252.580,134.321,750.399,164.508
0.900,-433.824,-278.989,-36.186,95.830,252.580,134.321,750.399,170.508
1.000,-433.824,-278.989,-36.186,95.830,252.580,134.321,750.399,170.508
1.100,-433.824,-278.989,-34.186,95.830,252.580,134.321,750.399,168.508
1.200,-433.824,-278.989,-32.186,95.830,252.580,134.321,750.399,166.508
1.300,-433.824,-278.989,-40.186,95.830,252.580,134.321,750.399,174.508
1.400,-433.824,-278.989,-52.186,95.830,252.580,134.321,750.399,173.493
1.500,-433.824,-278.989,-64.186,95.830,252.580,134.321,750.399,161.493
1.600,-433.824,-278.989,-76.186,95.830,252.580,134.321,750.399,149.493
1.700,-433.824,-278.989,-88.186,95.830,252.580,134.321,750.399,137.493
1.800,-433.824,-278.989,-96.186,95.830,252.580,134.321,750.399,129.493
1.900,-425.521,-279.596,-94.186,95.830,252.580,134.321,744.995,131.493
2.000,-375.643,-278.307,-84.186,95.830,252.580,134.321,710.019,141.493
2.100,-326.498,-269.512,-78.186,95.830,252.580,134.321,671.521,147.493
2.200,-277.810,-258.437,-74.186,95.830,252.580,134.321,633.044,151.493
2.300,-229.750,-244.825,-74.186,95.830,252.580,134.321,594.486,151.493
2.400,-181.616,-231.494,-76.186,95.830,252.580,134.321,557.946,149.493
2.500,-133.111,-219.568,-76.186,95.830,252.580,134.321,524.726,149.493
2.600,-84.606,-207.641,-76.186,95.830,252.580,134.321,494.328,149.493
2.700,-36.837,-193.207,-70.186,95.830,252.580,134.321,465.108,155.493
2.800,9.949,-175.732,-68.186,95.830,252.580,134.321,436.837,157.493
2.900,55.244,-154.790,-62.186,95.830,252.580,134.321,409.386,163.493
3.000,99.423,-131.483,-62.186,95.830,252.580,134.321,384.079,163.493
3.100,141.826,-105.178,-54.186,95.830,252.580,134.321,360.702,171.493
3.200,178.819,-71.696,-44.186,95.830,252.580,134.321,334.727,178.508
3.300,212.362,-34.685,-42.186,95.830,252.580,134.321,310.001,176.508
3.400,243.674,4.185,-36.186,95.830,252.580,134.321,289.063,170.508
3.500,269.255,47.008,-26.186,95.830,252.580,134.321,268.954,160.508
3.600,285.642,94.100,-14.186,95.830,252.580,134.321,247.274,148.508
3.700,291.879,143.570,-2.186,95.830,252.580,134.321,224.318,136.508
3.800,287.695,193.255,9.814,95.830,252.580,134.321,200.827,124.508
3.900,274.377,241.340,19.814,95.830,252.580,134.321,178.901,114.508
4.000,251.885,285.840,31.814,95.830,252.580,134.321,159.561,102.508
4.100,220.633,324.692,43.814,95.830,252.580,134.321,144.138,90.508
4.200,214.663,330.494,55.814,95.830,252.580,134.321,142.098,78.508
4.300,214.663,330.494,67.814,95.830,252.580,134.321,142.098,66.508
4.400,214.663,330.494,79.814,95.830,252.580,134.321,142.098,54.508
4.500,214.663,330.494,91.814,95.830,252.580,134.321,142.098,42.508
4.600,214.663,330.494,101.814,95.830,252.580,134.321,142.098,32.508
4.700,214.663,330.494,101.814,95.830,252.580,134.321,142.098,32.508
4.800,214.663,330.494,101.814,95.830,252.580,134.321,142.098,32.508
4.900,214.663,330.494,113.814,95.830,252.580,134.321,142.098,20.508
5.000,214.663,330.494,113.814,95.830,252.580,134.321,142.098,20.508
5.100,184.085,317.316,111.814,95.830,252.580,134.321,109.453,22.508
5.200,137.196,300.113,109.814,95.830,252.580,134.321,63.013,24.508
5.300,121.531,294.470,109.814,95.830,252.580,134.321,49.146,24.508
5.400,121.531,294.470,109.814,95.830,252.580,134.321,49.146,24.508
5.500,121.531,294.470,119.814,95.830,252.580,134.321,49.146,14.508
5.600,121.531,294.470,129.814,95.830,252.580,134.321,49.146,4.508
5.700,121.531,294.470,141.814,95.830,252.580,134.321,49.146,7.492
5.800,121.531,294.470,141.814,95.830,252.580,134.321,49.146,7.492
5.900,121.531,294.470,141.814,95.830,252.580,134.321,49.146,7.492
6.000,121.531,294.470,139.814,95.830,252.580,134.321,49.146,5.492
6.100,110.788,281.750,139.814,95.830,252.580,134.321,32.782,5.492
