elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,763.792,-402.707,79.712,-340.920,387.804,146.105
0.200,763.792,-402.707,79.712,-340.920,387.804,146.105
0.300,763.792,-402.707,79.712,-340.920,387.804,146.105
0.400,763.792,-402.707,79.712,-340.920,387.804,146.105
0.500,763.792,-402.707,79.712,-340.920,387.804,146.105
0.600,763.792,-402.707,79.712,-340.920,387.804,146.105
0.700,763.792,-402.707,79.712,-340.920,387.804,146.105
0.800,763.792,-402.707,79.712,-340.920,387.804,146.105
0.900,763.792,-402.707,79.712,-340.920,387.804,146.105
1.000,763.792,-402.707,79.712,-340.920,387.804,146.105
1.100,763.792,-402.707,79.712,-340.920,387.804,146.105
1.200,763.792,-402.707,79.712,-340.920,387.804,146.105
1.300,763.792,-402.707,94.731,-340.920,387.804,146.105
1.400,763.792,-402.707,112.745,-340.920,387.804,146.105
1.500,763.792,-402.707,130.767,-340.920,387.804,146.105
1.600,763.792,-402.707,139.773,-340.920,387.804,146.105
1.700,763.792,-402.707,139.773,-340.920,387.804,146.105
1.800,763.792,-402.707,139.773,-340.920,387.804,146.105
1.900,763.792,-402.707,139.773,-340.920,387.804,146.105
2.000,786.693,-422.079,139.773,-340.920,387.804,146.105
2.100,832.520,-460.843,139.773,-340.920,387.804,146.105
2.200,878.340,-487.500,139.773,-340.920,387.804,146.105
2.300,880.000,-487.500,139.773,-340.920,387.804,146.105
2.400,880.000,-487.500,139.773,-340.920,387.804,146.105
2.500,880.000,-487.500,139.773,-340.920,387.804,146.105
2.600,834.178,-448.740,139.773,-340.920,387.804,146.105
2.700,788.357,-409.982,139.773,-340.920,387.804,146.105
2.800,742.535,-371.222,139.773,-340.920,387.804,146.105
2.900,696.723,-332.471,139.773,-340.920,387.804,146.105
3.000,650.897,-293.708,139.773,-340.920,387.804,146.105
3.100,605.078,-254.951,139.773,-340.920,387.804,146.105
3.200,559.267,-216.201,139.773,-340.920,387.804,146.105
3.300,513.441,-177.437,139.773,-340.920,387.804,146.105
3.400,467.620,-138.679,139.773,-340.920,387.804,146.105
3.500,421.810,-99.929,139.773,-340.920,387.804,146.105
3.600,375.983,-61.166,139.773,-340.920,387.804,146.105
3.700,330.166,-22.411,139.773,-340.920,387.804,146.105
3.800,284.347,16.347,139.773,-340.920,387.804,146.105
3.900,238.526,55.106,139.773,-340.920,387.804,146.105
4.000,192.714,93.857,139.773,-340.920,387.804,146.105
4.100,146.889,132.619,139.773,-340.920,387.804,146.105
4.200,101.069,171.376,139.773,-340.920,387.804,146.105
4.300,55.248,210.135,139.773,-340.920,387.804,146.105
4.400,9.428,248.893,139.773,-340.920,387.804,146.105
4.500,-36.392,287.651,139.773,-340.920,387.804,146.105
4.600,-82.210,326.407,139.773,-340.920,387.804,146.105
4.700,-128.029,365.164,139.773,-340.920,387.804,146.105
4.800,-173.849,403.922,139.773,-340.920,387.804,146.105
4.900,-219.660,442.672,139.773,-340.920,387.804,146.105
5.000,-265.487,481.436,139.773,-340.920,387.804,146.105
5.100,-265.487,481.436,139.773,-340.920,387.804,146.105
5.200,-265.487,481.436,139.773,-340.920,387.804,146.105
5.300,-265.487,481.436,139.773,-340.920,387.804,146.105
5.400,-265.487,481.436,139.773,-340.920,387.804,146.105
5.500,-291.319,450.897,139.773,-340.920,387.804,146.105
5.600,-291.319,450.897,139.773,-340.920,387.804,146.105
5.700,-291.319,450.897,139.773,-340.920,387.804,146.105
5.800,-317.159,420.349,139.773,-340.920,387.804,146.105
5.900,-323.612,412.720,139.773,-340.920,387.804,146.105
