elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-409.741,241.465,139.038,348.588,352.681,-37.382,766.441,176.420
0.200,-409.741,241.465,139.038,348.588,352.681,-37.382,766.441,176.420
0.300,-409.741,241.465,133.038,348.588,352.681,-37.382,766.441,170.420
0.400,-409.741,241.465,123.038,348.588,352.681,-37.382,766.441,160.420
0.500,-409.741,241.465,113.038,348.588,352.681,-37.382,766.441,150.420
0.600,-409.741,241.465,105.038,348.588,352.681,-37.382,766.441,142.420
0.700,-409.741,241.465,99.038,348.588,352.681,-37.382,766.441,136.420
0.800,-409.741,241.465,89.038,348.588,352.681,-37.382,766.441,126.420
0.900,-409.741,241.465,77.038,348.588,352.681,-37.382,766.441,114.420
1.000,-409.741,241.465,65.038,348.588,352.681,-37.382,766.441,102.420
1.100,-409.741,241.465,53.038,348.588,352.681,-37.382,766.441,90.420
1.200,-409.741,241.465,41.038,348.588,352.681,-37.382,766.441,78.420
1.300,-409.741,241.465,29.038,348.588,352.681,-37.382,766.441,66.420
1.400,-409.741,241.465,17.038,348.588,352.681,-37.382,766.441,54.420
1.500,-409.741,241.465,5.038,348.588,352.681,-37.382,766.441,42.420
1.600,-409.741,241.465,-6.962,348.588,352.681,-37.382,766.441,30.420
1.700,-409.741,241.465,-18.962,348.588,352.681,-37.382,766.441,18.420
1.800,-409.741,241.465,-30.962,348.588,352.681,-37.382,766.441,6.420
1.900,-409.741,241.465,-42.962,348.588,352.681,-37.382,766.441,5.580
2.000,-409.741,241.465,-54.962,348.588,352.681,-37.382,766.441,17.580
2.100,-409.741,241.465,-54.962,348.588,352.681,-37.382,766.441,17.580
2.200,-409.741,241.465,-54.962,348.588,352.681,-37.382,766.441,17.580
2.300,-409.741,241.465,-54.962,348.588,352.681,-37.382,766.441,17.580
2.400,-409.741,241.465,-54.962,348.588,352.681,-37.382,766.441,17.580
2.500,-409.741,241.465,-62.962,348.588,352.681,-37.382,766.441,25.580
2.600,-409.741,241.465,-66.962,348.588,352.681,-37.382,766.441,29.580
2.700,-409.741,241.465,-66.962,348.588,352.681,-37.382,766.441,29.580
2.800,-409.741,241.465,-70.962,348.588,352.681,-37.382,766.441,33.580
2.900,-409.741,241.465,-72.962,348.588,352.681,-37.382,766.441,35.580
3.000,-385.863,248.783,-72.962,348.588,352.681,-37.382,741.763,35.580
3.100,-337.482,261.179,-76.962,348.588,352.681,-37.382,692.145,39.580
3.200,-288.101,268.446,-84.962,348.588,352.681,-37.382,642.237,47.580
3.300,-238.269,266.739,-96.962,348.588,352.681,-37.382,593.116,59.580
3.400,-189.881,254.709,-108.962,348.588,352.681,-37.382,547.309,71.580
3.500,-143.780,235.493,-112.962,348.588,352.681,-37.382,506.121,75.580
3.600,-97.174,217.638,-106.962,348.588,352.681,-37.382,465.768,69.580
3.700,-48.395,207.304,-96.962,348.588,352.681,-37.382,422.764,59.580
3.800,1.487,207.047,-86.962,348.588,352.681,-37.382,376.415,49.580
3.900,50.585,215.739,-74.962,348.588,352.681,-37.382,327.962,37.580
4.000,96.803,234.448,-62.962,348.588,352.681,-37.382,278.163,25.580
4.100,139.130,260.937,-56.962,348.588,352.681,-37.382,228.669,19.580
4.200,181.003,288.169,-56.962,348.588,352.681,-37.382,179.573,19.580
4.300,222.063,316.606,-54.962,348.588,352.681,-37.382,131.567,17.580
4.400,243.308,329.730,-64.962,348.588,352.681,-37.382,107.752,27.580
4.500,243.308,329.730,-72.962,348.588,352.681,-37.382,107.752,35.580
4.600,243.308,329.730,-82.962,348.588,352.681,-37.382,107.752,45.580
4.700,243.308,329.730,-90.962,348.588,352.681,-37.382,107.752,53.580
4.800,268.280,329.311,-90.962,348.588,352.681,-37.382,83.639,53.580
4.900,301.575,328.752,-90.962,348.588,352.681,-37.382,52.752,53.580
5.000,301.575,328.752,-78.962,348.588,352.681,-37.382,52.752,41.580
5.100,301.575,328.752,-68.962,348.588,352.681,-37.382,52.752,31.580
5.200,301.575,328.752,-58.962,348.588,352.681,-37.382,52.752,21.580
5.300,301.575,328.752,-58.962,348.588,352.681,-37.382,52.752,21.580
5.400,308.854,332.793,-60.962,348.588,352.681,-37.382,44.433,23.580
5.500,353.208,355.756,-62.962,348.588,352.681,-37.382,5.550,25.580
5.600,360.623,359.541,-62.962,348.588,352.681,-37.382,13.853,25.580
5.700,360.623,359.541,-62.962,348.588,352.681,-37.382,13.853,25.580
5.800,360.623,359.541,-62.962,348.588,352.681,-37.382,13.853,25.580
5.900,360.623,359.541,-54.962,348.588,352.681,-37.382,13.853,17.580
6.000,360.623,359.541,-50.962,348.588,352.681,-37.382,13.853,13.580
6.100,360.623,359.541,-46.962,348.588,352.681,-37.382,13.853,9.580
6.200,360.623,359.541,-42.962,348.588,352.681,-37.382,13.853,5.580
6.300,360.623,359.541,-36.962,348.588,352.681,-37.382,13.853,0.420
6.400,360.623,359.541,-36.962,348.588,352.681,-37.382,13.853,0.420
6.500,360.623,359.541,-36.962,348.588,352.681,-37.382,13.853,0.420
6.600,360.623,359.541,-36.962,348.588,352.681,-37.382,13.853,0.420
6.700,360.623,359.541,-34.962,348.588,352.681,-37.382,13.853,2.420
6.800,360.623,359.541,-34.962,348.588,352.681,-37.382,13.853,2.420
6.900,360.623,359.541,-34.962,348.588,352.681,-37.382,13.853,2.420
