elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-732.624,-56.098,132.547,554.855,335.123,30.912,1345.606,101.635
0.200,-732.624,-56.098,132.547,554.855,335.123,30.912,1345.606,101.635
0.300,-732.624,-56.098,132.547,554.855,335.123,30.912,1345.606,101.635
0.400,-732.624,-56.098,132.547,554.855,335.123,30.912,1345.606,101.635
0.500,-732.624,-56.098,130.547,554.855,335.123,30.912,1345.606,99.635
0.600,-732.624,-56.098,118.547,554.855,335.123,30.912,1345.606,87.635
0.700,-732.624,-56.098,112.547,554.855,335.123,30.912,1345.606,81.635
0.800,-732.624,-56.098,122.547,554.855,335.123,30.912,1345.606,91.635
0.900,-732.624,-56.098,134.547,554.855,335.123,30.912,1345.606,103.635
1.000,-732.624,-56.098,146.547,554.855,335.123,30.912,1345.606,115.635
1.100,-732.624,-56.098,156.547,554.855,335.123,30.912,1345.606,125.635
1.200,-732.624,-56.098,148.547,554.855,335.123,30.912,1345.606,117.635
1.300,-732.624,-56.098,136.547,554.855,335.123,30.912,1345.606,105.635
1.400,-732.624,-56.098,148.547,554.855,335.123,30.912,1345.606,117.635
1.500,-732.624,-56.098,160.547,554.855,335.123,30.912,1345.606,129.635
1.600,-732.624,-56.098,172.547,554.855,335.123,30.912,1345.606,141.635
1.700,-732.624,-56.098,-177.453,554.855,335.123,30.912,1345.606,151.635
1.800,-732.624,-56.098,-177.453,554.855,335.123,30.912,1345.606,151.635
1.900,-732.624,-56.098,-177.453,554.855,335.123,30.912,1345.606,151.635
2.000,-732.624,-56.098,-173.453,554.855,335.123,30.912,1345.606,155.635
2.100,-732.624,-56.098,-161.453,554.855,335.123,30.912,1345.606,167.635
2.200,-732.624,-56.098,-151.453,554.855,335.123,30.912,1345.606,177.635
2.300,-732.624,-56.098,-147.453,554.855,335.123,30.912,1345.606,178.365
2.400,-732.624,-56.098,-147.453,554.855,335.123,30.912,1345.606,178.365
2.500,-732.624,-56.098,-141.453,554.855,335.123,30.912,1345.606,172.365
2.600,-732.624,-56.098,-133.453,554.855,335.123,30.912,1345.606,164.365
2.700,-732.624,-56.098,-121.453,554.855,335.123,30.912,1345.606,152.365
2.800,-732.624,-56.098,-115.453,554.855,335.123,30.912,1345.606,146.365
2.900,-732.624,-56.098,-115.453,554.855,335.123,30.912,1345.606,146.365
3.000,-732.624,-56.098,-115.453,554.855,335.123,30.912,1345.606,146.365
3.100,-732.624,-56.098,-105.453,554.855,335.123,30.912,1345.606,136.365
3.200,-732.624,-56.098,-95.453,554.855,335.123,30.912,1345.606,126.365
3.300,-732.624,-56.098,-87.453,554.855,335.123,30.912,1345.606,118.365
3.400,-732.624,-56.098,-79.453,554.855,335.123,30.912,1345.606,110.365
3.500,-732.624,-56.098,-67.453,554.855,335.123,30.912,1345.606,98.365
3.600,-732.624,-56.098,-55.453,554.855,335.123,30.912,1345.606,86.365
3.700,-732.624,-56.098,-51.453,554.855,335.123,30.912,1345.606,82.365
3.800,-732.624,-56.098,-51.453,554.855,335.123,30.912,1345.606,82.365
3.900,-732.624,-56.098,-51.453,554.855,335.123,30.912,1345.606,82.365
4.000,-700.070,-30.159,-51.453,554.855,335.123,30.912,1307.006,82.365
4.100,-662.930,3.141,-43.453,554.855,335.123,30.912,1262.225,74.365
4.200,-633.304,43.247,-31.453,554.855,335.123,30.912,1223.484,62.365
4.300,-609.260,87.009,-31.453,554.855,335.123,30.912,1190.261,62.365
4.400,-578.252,126.057,-43.453,554.855,335.123,30.912,1152.233,74.365
4.500,-539.804,157.804,-55.453,554.855,335.123,30.912,1108.927,86.365
4.600,-495.596,180.864,-67.453,554.855,335.123,30.912,1061.717,98.365
4.700,-447.559,194.228,-79.453,554.855,335.123,30.912,1012.267,110.365
4.800,-397.793,197.313,-91.453,554.855,335.123,30.912,962.564,122.365
4.900,-348.263,191.127,-99.453,554.855,335.123,30.912,914.525,130.365
5.000,-300.443,177.005,-111.453,554.855,335.123,30.912,869.791,142.365
5.100,-255.655,155.044,-119.453,554.855,335.123,30.912,830.274,150.365
5.200,-213.841,127.765,-125.453,554.855,335.123,30.912,796.172,156.365
5.300,-174.015,97.624,-125.453,554.855,335.123,30.912,766.588,156.365
5.400,-130.177,73.868,-113.453,554.855,335.123,30.912,733.159,144.365
5.500,-82.666,58.627,-103.453,554.855,335.123,30.912,694.898,134.365
