elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,676.548,593.025,151.978,487.008,90.836,-94.012,536.767,114.010
0.200,676.548,593.025,151.978,487.008,90.836,-94.012,536.767,114.010
0.300,676.548,593.025,151.978,487.008,90.836,-94.012,536.767,114.010
0.400,672.138,584.738,151.978,487.008,90.836,-94.012,527.459,114.010
0.500,645.678,535.020,151.978,487.008,90.836,-94.012,471.673,114.010
0.600,619.217,485.302,151.978,487.008,90.836,-94.012,416.032,114.010
0.700,592.757,435.583,151.978,487.008,90.836,-94.012,360.602,114.010
0.800,566.296,385.865,151.978,487.008,90.836,-94.012,305.498,114.010
0.900,539.835,336.147,151.978,487.008,90.836,-94.012,250.935,114.010
1.000,513.375,286.429,151.978,487.008,90.836,-94.012,197.362,114.010
1.100,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.200,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.300,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.400,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.500,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.600,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.700,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.800,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
1.900,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.000,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.100,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.200,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.300,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.400,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.500,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.600,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.700,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.800,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
2.900,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.000,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.100,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.200,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.300,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.400,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.500,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.600,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.700,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.800,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
3.900,504.555,269.856,151.978,487.008,90.836,-94.012,179.878,114.010
4.000,495.735,253.283,151.978,487.008,90.836,-94.012,162.681,114.010
4.100,469.274,203.565,151.978,487.008,90.836,-94.012,114.115,114.010
4.200,442.814,153.847,151.978,487.008,90.836,-94.012,76.964,114.010
4.300,416.354,104.128,151.978,487.008,90.836,-94.012,71.894,114.010
4.400,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
4.500,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
4.600,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
4.700,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
4.800,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
4.900,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.000,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.100,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.200,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.300,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.400,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.500,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.600,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.700,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.800,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
5.900,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
6.000,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
6.100,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
6.200,407.533,87.555,151.978,487.008,90.836,-94.012,79.542,114.010
6.300,407.533,87.555,143.978,487.008,90.836,-94.012,79.542,122.010
6.400,407.533,87.555,131.978,487.008,90.836,-94.012,79.542,134.010
6.500,407.533,87.555,119.978,487.008,90.836,-94.012,79.542,146.010
6.600,407.533,87.555,117.978,487.008,90.836,-94.012,79.542,148.010
6.700,407.533,87.555,119.978,487.008,90.836,-94.012,79.542,146.010
6.800,407.533,87.555,107.978,487.008,90.836,-94.012,79.542,158.010
6.900,407.533,87.555,95.978,487.008,90.836,-94.012,79.542,170.010
7.000,407.533,87.555,83.978,487.008,90.836,-94.012,79.542,177.990
7.100,407.533,87.555,81.978,487.008,90.836,-94.012,79.542,175.990
7.200,407.533,87.555,77.978,487.008,90.836,-94.012,79.542,171.990
