elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.200,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.300,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.400,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.500,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.600,-527.742,-400.322,-145.878,-400.706,409.922,-123.563
0.700,-494.076,-450.004,-145.878,-400.706,409.922,-123.563
0.800,-460.412,-487.500,-145.878,-400.706,409.922,-123.563
0.900,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.000,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.100,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.200,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.300,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.400,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.500,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.600,-449.190,-487.500,-145.878,-400.706,409.922,-123.563
1.700,-449.190,-487.500,-127.857,-400.706,409.922,-123.563
1.800,-449.190,-487.500,-109.839,-400.706,409.922,-123.563
1.900,-390.207,-487.500,-91.820,-400.706,409.922,-123.563
2.000,-331.120,-478.469,-73.802,-400.706,409.922,-123.563
2.100,-277.724,-451.604,-55.784,-400.706,409.922,-123.563
2.200,-235.257,-409.541,-37.766,-400.706,409.922,-123.563
2.300,-207.883,-356.406,-19.749,-400.706,409.922,-123.563
2.400,-198.287,-297.409,-1.731,-400.706,409.922,-123.563
2.500,-207.411,-238.336,16.287,-400.706,409.922,-123.563
2.600,-234.353,-184.990,34.302,-400.706,409.922,-123.563
2.700,-276.480,-142.586,52.320,-400.706,409.922,-123.563
2.800,-329.658,-115.293,70.338,-400.706,409.922,-123.563
2.900,-387.847,-100.616,76.344,-400.706,409.922,-123.563
3.000,-446.154,-86.450,76.344,-400.706,409.922,-123.563
3.100,-504.470,-72.281,76.344,-400.706,409.922,-123.563
3.200,-562.786,-58.113,76.344,-400.706,409.922,-123.563
3.300,-621.101,-43.944,76.344,-400.706,409.922,-123.563
3.400,-659.988,-34.496,76.344,-400.706,409.922,-123.563
3.500,-655.267,-15.067,76.344,-400.706,409.922,-123.563
3.600,-641.096,43.260,76.344,-400.706,409.922,-123.563
3.700,-626.928,101.576,76.344,-400.706,409.922,-123.563
3.800,-626.928,101.576,76.344,-400.706,409.922,-123.563
3.900,-626.928,101.576,76.344,-400.706,409.922,-123.563
4.000,-624.564,111.306,76.344,-400.706,409.922,-123.563
4.100,-610.394,169.625,76.344,-400.706,409.922,-123.563
4.200,-596.225,227.943,76.344,-400.706,409.922,-123.563
4.300,-582.059,286.252,76.344,-400.706,409.922,-123.563
4.400,-567.890,344.570,76.344,-400.706,409.922,-123.563
4.500,-553.719,402.897,76.344,-400.706,409.922,-123.563
4.600,-539.549,461.217,76.344,-400.706,409.922,-123.563
4.700,-539.549,461.217,76.344,-400.706,409.922,-123.563
4.800,-539.549,461.217,76.344,-400.706,409.922,-123.563
4.900,-539.549,461.217,76.344,-400.706,409.922,-123.563
5.000,-539.549,461.217,76.344,-400.706,409.922,-123.563
5.100,-539.549,461.217,76.344,-400.706,409.922,-123.563
5.200,-539.549,461.217,76.344,-400.706,409.922,-123.563
5.300,-539.549,461.217,76.344,-400.706,409.922,-123.563
5.400,-539.549,461.217,76.344,-400.706,409.922,-123.563
