elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.200,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.300,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.400,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.500,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.600,-36.687,-164.155,147.278,202.490,-235.678,177.911,249.642,30.633
0.700,-59.188,-199.175,147.278,202.490,-235.678,177.911,264.211,30.633
0.800,-86.189,-241.198,147.278,202.490,-235.678,177.911,288.731,30.633
0.900,-113.190,-283.221,147.278,202.490,-235.678,177.911,319.240,30.633
1.000,-113.190,-283.221,147.278,202.490,-235.678,177.911,319.240,30.633
1.100,-113.190,-283.221,147.278,202.490,-235.678,177.911,319.240,30.633
1.200,-113.190,-283.221,147.278,202.490,-235.678,177.911,319.240,30.633
1.300,-148.209,-260.720,147.278,202.490,-235.678,177.911,351.592,30.633
1.400,-190.232,-233.719,147.278,202.490,-235.678,177.911,392.727,30.633
1.500,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
1.600,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
1.700,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
1.800,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
1.900,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.000,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.100,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.200,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.300,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.400,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.500,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.600,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.700,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.800,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
2.900,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
3.000,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
3.100,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
3.200,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
3.300,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
3.400,-211.244,-220.219,147.278,202.490,-235.678,177.911,414.022,30.633
