elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.200,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.300,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.400,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.500,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.600,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.700,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.800,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
0.900,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.000,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.100,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.200,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.300,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.400,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.500,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.600,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.700,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.800,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
1.900,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
2.000,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
2.100,561.774,469.193,-125.003,-393.238,265.531,47.269,976.486,172.273
2.200,561.774,469.193,-110.018,-393.238,265.531,47.269,976.486,157.288
2.300,561.774,469.193,-92.036,-393.238,265.531,47.269,976.486,139.306
2.400,561.774,469.193,-74.054,-393.238,265.531,47.269,976.486,121.324
2.500,561.774,469.193,-55.777,-393.238,265.531,47.269,976.486,103.046
2.600,561.774,469.193,-37.743,-393.238,265.531,47.269,976.486,85.012
2.700,561.774,469.193,-19.761,-393.238,265.531,47.269,976.486,67.030
2.800,561.774,469.193,-1.779,-393.238,265.531,47.269,976.486,49.048
2.900,561.774,469.193,16.203,-393.238,265.531,47.269,976.486,31.066
3.000,561.774,469.193,34.185,-393.238,265.531,47.269,976.486,13.084
3.100,561.774,469.193,52.167,-393.238,265.531,47.269,976.486,4.898
3.200,561.774,469.193,70.149,-393.238,265.531,47.269,976.486,22.880
3.300,561.774,469.193,88.131,-393.238,265.531,47.269,976.486,40.862
3.400,561.774,469.193,97.122,-393.238,265.531,47.269,976.486,49.853
3.500,561.774,469.193,97.122,-393.238,265.531,47.269,976.486,49.853
3.600,561.774,469.193,97.122,-393.238,265.531,47.269,976.486,49.853
3.700,561.774,469.193,109.110,-393.238,265.531,47.269,976.486,61.841
3.800,561.774,469.193,118.101,-393.238,265.531,47.269,976.486,70.832
3.900,552.903,464.456,118.101,-393.238,265.531,47.269,966.826,70.832
4.000,499.678,436.035,118.101,-393.238,265.531,47.269,909.049,70.832
4.100,446.453,407.614,118.101,-393.238,265.531,47.269,851.626,70.832
4.200,393.228,379.192,118.101,-393.238,265.531,47.269,794.636,70.832
4.300,340.003,350.771,118.101,-393.238,265.531,47.269,738.178,70.832
4.400,286.778,322.350,118.101,-393.238,265.531,47.269,682.385,70.832
4.500,233.552,293.929,118.101,-393.238,265.531,47.269,627.433,70.832
4.600,180.327,265.507,118.101,-393.238,265.531,47.269,573.565,70.832
4.700,127.102,237.086,118.101,-393.238,265.531,47.269,521.117,70.832
4.800,73.877,208.665,118.101,-393.238,265.531,47.269,470.563,70.832
4.900,20.652,180.244,118.101,-393.238,265.531,47.269,422.585,70.832
5.000,-32.573,151.823,118.101,-393.238,265.531,47.269,378.164,70.832
5.100,-85.799,123.402,118.101,-393.238,265.531,47.269,338.703,70.832
5.200,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.300,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.400,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.500,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.600,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.700,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.800,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
5.900,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.000,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.100,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.200,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.300,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.400,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.500,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.600,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.700,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.800,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
6.900,-121.282,104.454,118.101,-393.238,265.531,47.269,316.079,70.832
7.000,-121.282,104.454,109.110,-393.238,265.531,47.269,316.079,61.841
7.100,-121.282,104.454,91.128,-393.238,265.531,47.269,316.079,43.859
7.200,-121.282,104.454,73.146,-393.238,265.531,47.269,316.079,25.877
7.300,-121.282,104.454,55.164,-393.238,265.531,47.269,316.079,7.895
7.400,-121.282,104.454,55.164,-393.238,265.531,47.269,316.079,7.895
7.500,-121.282,104.454,55.164,-393.238,265.531,47.269,316.079,7.895
7.600,-121.282,104.454,55.164,-393.238,265.531,47.269,316.079,7.895
7.700,-121.282,104.454,55.164,-393.238,265.531,47.269,316.079,7.895
7.800,-146.045,121.687,55.164,-393.238,265.531,47.269,285.999,7.895
7.900,-195.570,156.154,55.164,-393.238,265.531,47.269,225.911,7.895
8.000,-245.095,190.621,55.164,-393.238,265.531,47.269,166.006,7.895
8.100,-294.620,225.087,55.164,-393.238,265.531,47.269,106.589,7.895
8.200,-344.145,259.554,55.164,-393.238,265.531,47.269,49.455,7.895
8.300,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
8.400,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
8.500,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
8.600,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
8.700,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
8.800,-385.416,288.276,55.164,-393.238,265.531,47.269,24.052,7.895
