elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,2.364,213.471,171.897,-42.727,363.053,149.939,156.230,21.959
0.200,2.364,213.471,171.897,-42.727,363.053,149.939,156.230,21.959
0.300,2.364,213.471,175.897,-42.727,363.053,149.939,156.230,25.959
0.400,2.364,213.471,-172.103,-42.727,363.053,149.939,156.230,37.959
0.500,2.364,213.471,-160.103,-42.727,363.053,149.939,156.230,49.959
0.600,2.364,213.471,-154.103,-42.727,363.053,149.939,156.230,55.959
0.700,2.364,213.471,-142.103,-42.727,363.053,149.939,156.230,67.959
0.800,2.364,213.471,-130.103,-42.727,363.053,149.939,156.230,79.959
0.900,2.364,213.471,-130.103,-42.727,363.053,149.939,156.230,79.959
1.000,2.364,213.471,-130.103,-42.727,363.053,149.939,156.230,79.959
1.100,2.364,213.471,-130.103,-42.727,363.053,149.939,156.230,79.959
1.200,2.364,213.471,-126.103,-42.727,363.053,149.939,156.230,83.959
1.300,2.364,213.471,-118.103,-42.727,363.053,149.939,156.230,91.959
1.400,2.364,213.471,-106.103,-42.727,363.053,149.939,156.230,103.959
1.500,2.364,213.471,-94.103,-42.727,363.053,149.939,156.230,115.959
1.600,2.364,213.471,-92.103,-42.727,363.053,149.939,156.230,117.959
1.700,2.364,213.471,-92.103,-42.727,363.053,149.939,156.230,117.959
1.800,2.364,213.471,-92.103,-42.727,363.053,149.939,156.230,117.959
1.900,2.364,213.471,-92.103,-42.727,363.053,149.939,156.230,117.959
2.000,2.364,213.471,-82.103,-42.727,363.053,149.939,156.230,127.959
2.100,2.364,213.471,-70.103,-42.727,363.053,149.939,156.230,139.959
2.200,2.364,213.471,-60.103,-42.727,363.053,149.939,156.230,149.959
2.300,2.364,213.471,-58.103,-42.727,363.053,149.939,156.230,151.959
2.400,35.726,238.336,-52.103,-42.727,363.053,149.939,147.340,157.959
2.500,67.470,265.255,-48.103,-42.727,363.053,149.939,147.336,161.959
2.600,67.470,265.255,-46.103,-42.727,363.053,149.939,147.336,163.959
2.700,67.470,265.255,-40.103,-42.727,363.053,149.939,147.336,169.959
2.800,67.470,265.255,-30.103,-42.727,363.053,149.939,147.336,179.959
2.900,67.470,265.255,-24.103,-42.727,363.053,149.939,147.336,174.041
3.000,67.470,265.255,-24.103,-42.727,363.053,149.939,147.336,174.041
3.100,81.069,295.651,-24.103,-42.727,363.053,149.939,140.955,174.041
3.200,101.467,341.247,-24.103,-42.727,363.053,149.939,145.834,174.041
3.300,121.865,386.842,-24.103,-42.727,363.053,149.939,166.303,174.041
3.400,121.865,386.842,-16.103,-42.727,363.053,149.939,166.303,166.041
3.500,121.865,386.842,-4.103,-42.727,363.053,149.939,166.303,154.041
3.600,121.865,386.842,5.897,-42.727,363.053,149.939,166.303,144.041
3.700,121.865,386.842,5.897,-42.727,363.053,149.939,166.303,144.041
3.800,121.865,386.842,5.897,-42.727,363.053,149.939,166.303,144.041
3.900,121.865,386.842,13.897,-42.727,363.053,149.939,166.303,136.041
4.000,121.865,386.842,25.897,-42.727,363.053,149.939,166.303,124.041
4.100,121.865,386.842,35.897,-42.727,363.053,149.939,166.303,114.041
4.200,121.865,386.842,35.897,-42.727,363.053,149.939,166.303,114.041
4.300,121.865,386.842,35.897,-42.727,363.053,149.939,166.303,114.041
4.400,121.865,386.842,43.897,-42.727,363.053,149.939,166.303,106.041
4.500,121.865,386.842,55.897,-42.727,363.053,149.939,166.303,94.041
4.600,121.865,386.842,67.897,-42.727,363.053,149.939,166.303,82.041
4.700,121.865,386.842,75.897,-42.727,363.053,149.939,166.303,74.041
4.800,121.865,386.842,75.897,-42.727,363.053,149.939,166.303,74.041
4.900,121.865,386.842,81.897,-42.727,363.053,149.939,166.303,68.041
5.000,121.865,386.842,93.897,-42.727,363.053,149.939,166.303,56.041
5.100,121.865,386.842,101.897,-42.727,363.053,149.939,166.303,48.041
5.200,97.846,380.001,105.897,-42.727,363.053,149.939,141.590,44.041
5.300,49.806,366.319,105.897,-42.727,363.053,149.939,92.591,44.041
5.400,41.799,364.038,105.897,-42.727,363.053,149.939,84.532,44.041
5.500,41.799,364.038,105.897,-42.727,363.053,149.939,84.532,44.041
5.600,41.799,364.038,97.897,-42.727,363.053,149.939,84.532,52.041
5.700,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
5.800,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
5.900,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.000,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.100,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.200,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.300,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.400,41.799,364.038,89.897,-42.727,363.053,149.939,84.532,60.041
6.500,41.799,364.038,87.897,-42.727,363.053,149.939,84.532,62.041
6.600,41.799,364.038,77.897,-42.727,363.053,149.939,84.532,72.041
6.700,41.799,364.038,73.897,-42.727,363.053,149.939,84.532,76.041
6.800,41.799,364.038,73.897,-42.727,363.053,149.939,84.532,76.041
6.900,18.061,371.799,71.897,-42.727,363.053,149.939,61.413,78.041
7.000,2.235,376.972,73.897,-42.727,363.053,149.939,47.067,76.041
7.100,2.235,376.972,77.897,-42.727,363.053,149.939,47.067,72.041
7.200,-5.905,378.717,77.897,-42.727,363.053,149.939,40.015,72.041
7.300,-46.661,387.160,79.897,-42.727,363.053,149.939,24.425,70.041
7.400,-46.661,387.160,79.897,-42.727,363.053,149.939,24.425,70.041
7.500,-46.661,387.160,81.897,-42.727,363.053,149.939,24.425,68.041
7.600,-46.661,387.160,89.897,-42.727,363.053,149.939,24.425,60.041
7.700,-46.661,387.160,97.897,-42.727,363.053,149.939,24.425,52.041
7.800,-46.661,387.160,101.897,-42.727,363.053,149.939,24.425,48.041
7.900,-46.661,387.160,111.897,-42.727,363.053,149.939,24.425,38.041
8.000,-46.661,387.160,121.897,-42.727,363.053,149.939,24.425,28.041
8.100,-46.661,387.160,133.897,-42.727,363.053,149.939,24.425,16.041
8.200,-46.661,387.160,145.897,-42.727,363.053,149.939,24.425,4.041
8.300,-46.661,387.160,157.897,-42.727,363.053,149.939,24.425,7.959
8.400,-46.661,387.160,163.897,-42.727,363.053,149.939,24.425,13.959
8.500,-46.661,387.160,163.897,-42.727,363.053,149.939,24.425,13.959
8.600,-46.661,387.160,163.897,-42.727,363.053,149.939,24.425,13.959
8.700,-48.970,379.161,163.897,-42.727,363.053,149.939,17.276,13.959
8.800,-55.897,355.166,163.897,-42.727,363.053,149.939,15.351,13.959
8.900,-55.897,355.166,163.897,-42.727,363.053,149.939,15.351,13.959
9.000,-55.897,355.166,161.897,-42.727,363.053,149.939,15.351,11.959
9.100,-55.897,355.166,149.897,-42.727,363.053,149.939,15.351,0.041
9.200,-55.897,355.166,139.897,-42.727,363.053,149.939,15.351,10.041
9.300,-55.897,355.166,137.897,-42.727,363.053,149.939,15.351,12.041
9.400,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
9.500,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
9.600,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
9.700,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
9.800,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
9.900,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
10.000,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
10.100,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
10.200,-55.897,355.166,133.897,-42.727,363.053,149.939,15.351,16.041
10.300,-37.901,372.483,133.897,-42.727,363.053,149.939,10.593,16.041
10.400,-37.901,372.483,133.897,-42.727,363.053,149.939,10.593,16.041
10.500,-37.901,372.483,133.897,-42.727,363.053,149.939,10.593,16.041
10.600,-37.901,372.483,133.897,-42.727,363.053,149.939,10.593,16.041
10.700,-37.901,372.483,139.897,-42.727,363.053,149.939,10.593,10.041
10.800,-37.901,372.483,149.897,-42.727,363.053,149.939,10.593,0.041
10.900,-37.901,372.483,153.897,-42.727,363.053,149.939,10.593,3.959
11.000,-37.901,372.483,153.897,-42.727,363.053,149.939,10.593,3.959
11.100,-37.901,372.483,153.897,-42.727,363.053,149.939,10.593,3.959
11.200,-37.901,372.483,151.897,-42.727,363.053,149.939,10.593,1.959
11.300,-37.901,372.483,147.897,-42.727,363.053,149.939,10.593,2.041
11.400,-37.901,372.483,147.897,-42.727,363.053,149.939,10.593,2.041
11.500,-37.901,372.483,147.897,-42.727,363.053,149.939,10.593,2.041
