elapsed_time,walker_posx,walker_posy,walker_rotz,shadow_posx,shadow_posy,shadow_rotz,distance,angle
0.100,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.200,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.300,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.400,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.500,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.600,-812.574,450.720,-143.836,595.763,-164.829,106.809,1536.983,109.355
0.700,-800.706,434.483,-143.836,595.763,-164.829,106.809,1519.638,109.355
0.800,-765.101,385.770,-143.836,595.763,-164.829,106.809,1468.029,109.355
0.900,-729.496,337.057,-143.836,595.763,-164.829,106.809,1417.110,109.355
1.000,-693.890,288.344,-143.836,595.763,-164.829,106.809,1366.957,109.355
1.100,-658.285,239.631,-143.836,595.763,-164.829,106.809,1317.659,109.355
1.200,-622.680,190.919,-143.836,595.763,-164.829,106.809,1269.315,109.355
1.300,-587.075,142.206,-143.836,595.763,-164.829,106.809,1222.037,109.355
1.400,-551.469,93.493,-143.836,595.763,-164.829,106.809,1175.956,109.355
1.500,-515.864,44.780,-143.836,595.763,-164.829,106.809,1131.217,109.355
1.600,-480.259,-3.933,-143.836,595.763,-164.829,106.809,1087.985,109.355
1.700,-444.653,-52.646,-143.836,595.763,-164.829,106.809,1046.447,109.355
1.800,-425.286,-113.227,-143.836,595.763,-164.829,106.809,1022.352,109.355
1.900,-422.156,-185.677,-143.836,595.763,-164.829,106.809,1018.132,109.355
2.000,-386.550,-234.390,-143.836,595.763,-164.829,106.809,984.773,109.355
2.100,-350.945,-283.102,-143.836,595.763,-164.829,106.809,954.067,109.355
2.200,-315.339,-331.815,-143.836,595.763,-164.829,106.809,926.279,109.355
2.300,-279.734,-380.528,-143.836,595.763,-164.829,106.809,901.677,109.355
2.400,-244.129,-429.241,-143.836,595.763,-164.829,106.809,880.529,109.355
2.500,-208.523,-477.954,-143.836,595.763,-164.829,106.809,863.090,109.355
2.600,-202.589,-486.073,-143.836,595.763,-164.829,106.809,860.560,109.355
2.700,-202.589,-486.073,-143.836,595.763,-164.829,106.809,860.560,109.355
2.800,-202.589,-486.073,-143.836,595.763,-164.829,106.809,860.560,109.355
