elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.200,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.300,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.400,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.500,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.600,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.700,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.800,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
0.900,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.000,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.100,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.200,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.300,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.400,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.500,-564.632,-487.500,-52.860,-525.714,496.197,-91.044
1.600,-524.773,-457.311,-52.860,-525.714,496.197,-91.044
1.700,-476.924,-421.071,-52.860,-525.714,496.197,-91.044
1.800,-429.091,-384.842,-52.860,-525.714,496.197,-91.044
1.900,-381.242,-348.602,-52.860,-525.714,496.197,-91.044
2.000,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.100,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.200,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.300,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.400,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.500,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.600,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.700,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.800,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
2.900,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.000,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.100,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.200,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.300,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.400,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.500,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.600,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.700,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.800,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
3.900,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.000,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.100,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.200,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.300,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.400,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.500,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.600,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.700,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.800,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
4.900,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
5.000,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
5.100,-373.277,-342.569,-52.860,-525.714,496.197,-91.044
