elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.200,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.300,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.400,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.500,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.600,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.700,-38.104,-85.222,45.275,-746.530,-382.143,119.673,768.134,74.398
0.800,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
0.900,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.000,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.100,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.200,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.300,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.400,-80.974,-42.763,45.275,-746.530,-382.143,119.673,747.091,74.398
1.500,-80.974,-42.763,54.266,-746.530,-382.143,119.673,747.091,65.407
1.600,-80.974,-42.763,72.248,-746.530,-382.143,119.673,747.091,47.425
1.700,-80.974,-42.763,90.230,-746.530,-382.143,119.673,747.091,29.443
1.800,-80.974,-42.763,108.212,-746.530,-382.143,119.673,747.091,11.461
1.900,-80.974,-42.763,126.194,-746.530,-382.143,119.673,747.091,6.521
2.000,-80.974,-42.763,144.176,-746.530,-382.143,119.673,747.091,24.503
2.100,-80.974,-42.763,147.173,-746.530,-382.143,119.673,747.091,27.500
2.200,-113.683,-93.466,147.173,-746.530,-382.143,119.673,695.579,27.500
2.300,-146.392,-144.169,147.173,-746.530,-382.143,119.673,645.599,27.500
2.400,-179.102,-194.872,147.173,-746.530,-382.143,119.673,597.533,27.500
2.500,-211.811,-245.575,147.173,-746.530,-382.143,119.673,551.884,27.500
2.600,-244.520,-296.278,147.173,-746.530,-382.143,119.673,509.301,27.500
2.700,-249.971,-304.728,147.173,-746.530,-382.143,119.673,502.557,27.500
2.800,-249.971,-304.728,147.173,-746.530,-382.143,119.673,502.557,27.500
2.900,-249.971,-304.728,147.173,-746.530,-382.143,119.673,502.557,27.500
3.000,-249.971,-304.728,147.173,-746.530,-382.143,119.673,502.557,27.500
3.100,-249.971,-304.728,147.173,-746.530,-382.143,119.673,502.557,27.500
3.200,-199.268,-337.437,147.173,-746.530,-382.143,119.673,549.085,27.500
3.300,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.400,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.500,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.600,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.700,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.800,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
3.900,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
4.000,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
4.100,-157.016,-364.695,147.173,-746.530,-382.143,119.673,589.773,27.500
4.200,-157.016,-364.695,162.158,-746.530,-382.143,119.673,589.773,42.485
4.300,-157.016,-364.695,-179.860,-746.530,-382.143,119.673,589.773,60.467
4.400,-157.016,-364.695,-173.866,-746.530,-382.143,119.673,589.773,66.461
4.500,-157.016,-364.695,-173.866,-746.530,-382.143,119.673,589.773,66.461
4.600,-157.016,-364.695,-155.884,-746.530,-382.143,119.673,589.773,84.443
4.700,-157.016,-364.695,-137.902,-746.530,-382.143,119.673,589.773,102.425
4.800,-157.016,-364.695,-137.902,-746.530,-382.143,119.673,589.773,102.425
4.900,-186.863,-391.662,-137.902,-746.530,-382.143,119.673,559.749,102.425
5.000,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.100,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.200,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.300,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.400,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.500,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.600,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.700,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.800,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
5.900,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
6.000,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
6.100,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
6.200,-216.710,-418.630,-137.902,-746.530,-382.143,119.673,531.076,102.425
6.300,-216.710,-418.630,-155.884,-746.530,-382.143,119.673,531.076,84.443
