elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,613.214,-332.425,110.292,432.005,-46.254,-13.757,338.719,124.049
0.200,613.214,-332.425,108.292,432.005,-46.254,-13.757,338.719,122.049
0.300,613.214,-332.425,108.292,432.005,-46.254,-13.757,338.719,122.049
0.400,613.214,-332.425,108.292,432.005,-46.254,-13.757,338.719,122.049
0.500,613.214,-332.425,114.292,432.005,-46.254,-13.757,338.719,128.049
0.600,613.214,-332.425,118.292,432.005,-46.254,-13.757,338.719,132.049
0.700,613.214,-332.425,114.292,432.005,-46.254,-13.757,338.719,128.049
0.800,613.214,-332.425,102.292,432.005,-46.254,-13.757,338.719,116.049
0.900,613.214,-332.425,90.292,432.005,-46.254,-13.757,338.719,104.049
1.000,613.214,-332.425,84.292,432.005,-46.254,-13.757,338.719,98.049
1.100,613.214,-332.425,84.292,432.005,-46.254,-13.757,338.719,98.049
1.200,613.214,-332.425,84.292,432.005,-46.254,-13.757,338.719,98.049
1.300,613.214,-332.425,84.292,432.005,-46.254,-13.757,338.719,98.049
1.400,613.214,-332.425,78.292,432.005,-46.254,-13.757,338.719,92.049
1.500,613.214,-332.425,74.292,432.005,-46.254,-13.757,338.719,88.049
1.600,613.214,-332.425,74.292,432.005,-46.254,-13.757,338.719,88.049
1.700,613.214,-332.425,74.292,432.005,-46.254,-13.757,338.719,88.049
1.800,573.144,-321.155,74.292,432.005,-46.254,-13.757,309.016,88.049
1.900,524.690,-309.037,76.292,432.005,-46.254,-13.757,278.650,90.049
2.000,516.602,-307.064,74.292,432.005,-46.254,-13.757,274.188,88.049
2.100,516.602,-307.064,62.292,432.005,-46.254,-13.757,274.188,76.049
2.200,516.602,-307.064,50.292,432.005,-46.254,-13.757,274.188,64.049
2.300,516.602,-307.064,44.292,432.005,-46.254,-13.757,274.188,58.049
2.400,504.771,-295.353,46.292,432.005,-46.254,-13.757,259.510,60.049
2.500,465.294,-264.833,56.292,432.005,-46.254,-13.757,221.099,70.049
2.600,465.294,-264.833,58.292,432.005,-46.254,-13.757,221.099,72.049
2.700,465.294,-264.833,58.292,432.005,-46.254,-13.757,221.099,72.049
2.800,422.799,-238.579,58.292,432.005,-46.254,-13.757,192.546,72.049
2.900,379.415,-213.825,60.292,432.005,-46.254,-13.757,175.630,74.049
3.000,372.184,-209.700,66.292,432.005,-46.254,-13.757,174.049,80.049
3.100,372.184,-209.700,74.292,432.005,-46.254,-13.757,174.049,88.049
3.200,372.184,-209.700,66.292,432.005,-46.254,-13.757,174.049,80.049
3.300,372.184,-209.700,54.292,432.005,-46.254,-13.757,174.049,68.049
3.400,372.184,-209.700,42.292,432.005,-46.254,-13.757,174.049,56.049
3.500,372.184,-209.700,34.292,432.005,-46.254,-13.757,174.049,48.049
3.600,372.184,-209.700,34.292,432.005,-46.254,-13.757,174.049,48.049
3.700,372.184,-209.700,32.292,432.005,-46.254,-13.757,174.049,46.049
3.800,372.184,-209.700,24.292,432.005,-46.254,-13.757,174.049,38.049
3.900,372.184,-209.700,12.292,432.005,-46.254,-13.757,174.049,26.049
4.000,372.184,-209.700,0.292,432.005,-46.254,-13.757,174.049,14.049
4.100,372.184,-209.700,-11.708,432.005,-46.254,-13.757,174.049,2.049
4.200,372.184,-209.700,-17.708,432.005,-46.254,-13.757,174.049,3.951
4.300,372.184,-209.700,-17.708,432.005,-46.254,-13.757,174.049,3.951
4.400,372.184,-209.700,-17.708,432.005,-46.254,-13.757,174.049,3.951
4.500,372.184,-209.700,-19.708,432.005,-46.254,-13.757,174.049,5.951
4.600,372.184,-209.700,-17.708,432.005,-46.254,-13.757,174.049,3.951
4.700,372.184,-209.700,-17.708,432.005,-46.254,-13.757,174.049,3.951
4.800,379.780,-185.908,-17.708,432.005,-46.254,-13.757,149.100,3.951
4.900,394.974,-138.325,-17.708,432.005,-46.254,-13.757,99.239,3.951
5.000,410.167,-90.741,-17.708,432.005,-46.254,-13.757,49.559,3.951
