elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,-191.869,-487.500,31.451,122.804,490.967,109.956
0.200,-191.869,-487.500,31.451,122.804,490.967,109.956
0.300,-191.869,-487.500,31.451,122.804,490.967,109.956
0.400,-191.869,-487.500,31.451,122.804,490.967,109.956
0.500,-191.869,-487.500,31.451,122.804,490.967,109.956
0.600,-191.869,-487.500,31.451,122.804,490.967,109.956
0.700,-191.869,-487.500,31.451,122.804,490.967,109.956
0.800,-191.869,-487.500,31.451,122.804,490.967,109.956
0.900,-191.869,-487.500,31.451,122.804,490.967,109.956
1.000,-191.869,-487.500,31.451,122.804,490.967,109.956
1.100,-191.869,-487.500,31.451,122.804,490.967,109.956
1.200,-191.869,-487.500,31.451,122.804,490.967,109.956
1.300,-191.869,-487.500,31.451,122.804,490.967,109.956
1.400,-191.869,-487.500,31.451,122.804,490.967,109.956
1.500,-207.525,-461.903,31.451,122.804,490.967,109.956
1.600,-238.836,-410.710,31.451,122.804,490.967,109.956
1.700,-270.146,-359.521,31.451,122.804,490.967,109.956
1.800,-301.459,-308.325,31.451,122.804,490.967,109.956
1.900,-332.772,-257.130,31.451,122.804,490.967,109.956
2.000,-329.955,-185.059,31.451,122.804,490.967,109.956
2.100,-310.073,-102.554,31.451,122.804,490.967,109.956
2.200,-290.189,-20.035,31.451,122.804,490.967,109.956
2.300,-270.306,62.473,31.451,122.804,490.967,109.956
2.400,-250.424,144.982,31.451,122.804,490.967,109.956
2.500,-230.545,227.476,31.451,122.804,490.967,109.956
2.600,-210.659,309.997,31.451,122.804,490.967,109.956
2.700,-190.777,392.502,31.451,122.804,490.967,109.956
2.800,-170.898,474.998,31.451,122.804,490.967,109.956
2.900,-151.012,487.500,31.451,122.804,490.967,109.956
3.000,-131.133,487.500,31.451,122.804,490.967,109.956
3.100,-111.250,487.500,31.451,122.804,490.967,109.956
3.200,-91.368,487.500,31.451,122.804,490.967,109.956
3.300,-71.482,487.500,31.451,122.804,490.967,109.956
3.400,-51.599,487.500,31.451,122.804,490.967,109.956
3.500,-31.720,487.500,31.451,122.804,490.967,109.956
3.600,-11.834,487.500,31.451,122.804,490.967,109.956
3.700,8.049,487.500,31.451,122.804,490.967,109.956
3.800,27.934,487.500,31.451,122.804,490.967,109.956
3.900,47.817,487.500,31.451,122.804,490.967,109.956
4.000,67.697,487.500,31.451,122.804,490.967,109.956
4.100,87.584,487.500,31.451,122.804,490.967,109.956
4.200,90.894,487.500,31.451,122.804,490.967,109.956
4.300,90.894,487.500,31.451,122.804,490.967,109.956
4.400,90.894,487.500,31.451,122.804,490.967,109.956
4.500,136.864,487.500,31.451,122.804,490.967,109.956
4.600,161.966,487.500,31.451,122.804,490.967,109.956
4.700,161.966,487.500,31.451,122.804,490.967,109.956
4.800,161.966,487.500,31.451,122.804,490.967,109.956
4.900,161.966,487.500,31.451,122.804,490.967,109.956
5.000,161.966,487.500,31.451,122.804,490.967,109.956
5.100,161.966,487.500,31.451,122.804,490.967,109.956
5.200,161.966,487.500,31.451,122.804,490.967,109.956
5.300,161.966,487.500,31.451,122.804,490.967,109.956
5.400,161.966,487.500,31.451,122.804,490.967,109.956
5.500,161.966,487.500,31.451,122.804,490.967,109.956
5.600,161.966,487.500,31.451,122.804,490.967,109.956
5.700,106.975,487.500,31.451,122.804,490.967,109.956
5.800,106.975,487.500,31.451,122.804,490.967,109.956
5.900,106.975,487.500,31.451,122.804,490.967,109.956
6.000,106.975,487.500,31.451,122.804,490.967,109.956
6.100,106.975,487.500,33.451,122.804,490.967,109.956
6.200,106.975,487.500,43.451,122.804,490.967,109.956
6.300,106.975,487.500,53.451,122.804,490.967,109.956
6.400,106.975,487.500,59.451,122.804,490.967,109.956
6.500,106.975,487.500,71.451,122.804,490.967,109.956
6.600,106.975,487.500,83.452,122.804,490.967,109.956
6.700,106.975,487.500,89.452,122.804,490.967,109.956
6.800,106.975,487.500,89.452,122.804,490.967,109.956
6.900,106.975,487.500,95.452,122.804,490.967,109.956
7.000,106.975,487.500,99.452,122.804,490.967,109.956
7.100,106.975,487.500,111.452,122.804,490.967,109.956
7.200,106.975,487.500,111.452,122.804,490.967,109.956
7.300,106.975,487.500,111.452,122.804,490.967,109.956
7.400,106.975,487.500,111.452,122.804,490.967,109.956
7.500,106.975,487.500,111.452,122.804,490.967,109.956
7.600,106.975,487.500,111.452,122.804,490.967,109.956
