elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.200,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.300,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.400,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.500,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.600,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.700,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.800,-157.172,-390.695,-32.730,-124.590,390.453,156.039
0.900,-157.172,-390.695,-32.730,-124.590,390.453,156.039
1.000,-157.172,-390.695,-32.730,-124.590,390.453,156.039
1.100,-157.172,-390.695,-32.730,-124.590,390.453,156.039
1.200,-157.172,-390.695,-32.730,-124.590,390.453,156.039
1.300,-157.172,-390.695,-32.730,-124.590,390.453,156.039
1.400,-124.730,-340.220,-32.730,-124.590,390.453,156.039
1.500,-92.283,-289.737,-32.730,-124.590,390.453,156.039
1.600,-59.830,-239.245,-32.730,-124.590,390.453,156.039
1.700,-27.383,-188.762,-32.730,-124.590,390.453,156.039
1.800,5.064,-138.279,-32.730,-124.590,390.453,156.039
1.900,37.503,-87.809,-32.730,-124.590,390.453,156.039
2.000,69.940,-37.342,-32.730,-124.590,390.453,156.039
2.100,101.000,13.882,-26.730,-124.590,390.453,156.039
2.200,117.689,71.216,-8.730,-124.590,390.453,156.039
2.300,115.845,130.901,9.270,-124.590,390.453,156.039
2.400,95.511,187.328,27.351,-124.590,390.453,156.039
2.500,59.197,234.889,42.365,-124.590,390.453,156.039
2.600,18.757,279.230,42.365,-124.590,390.453,156.039
2.700,5.284,294.003,42.365,-124.590,390.453,156.039
2.800,5.284,294.003,42.365,-124.590,390.453,156.039
2.900,-28.403,330.940,42.365,-124.590,390.453,156.039
3.000,-68.850,375.289,42.365,-124.590,390.453,156.039
3.100,-109.250,419.586,42.365,-124.590,390.453,156.039
3.200,-109.250,419.586,42.365,-124.590,390.453,156.039
3.300,-109.250,419.586,42.365,-124.590,390.453,156.039
3.400,-109.250,419.586,42.365,-124.590,390.453,156.039
3.500,-131.398,399.386,42.365,-124.590,390.453,156.039
3.600,-175.696,358.986,42.365,-124.590,390.453,156.039
3.700,-219.993,318.586,42.365,-124.590,390.453,156.039
3.800,-234.758,305.119,42.365,-124.590,390.453,156.039
3.900,-234.758,305.119,42.365,-124.590,390.453,156.039
4.000,-234.758,305.119,42.365,-124.590,390.453,156.039
4.100,-234.758,305.119,42.365,-124.590,390.453,156.039
4.200,-197.844,338.786,42.365,-124.590,390.453,156.039
4.300,-153.547,379.186,42.365,-124.590,390.453,156.039
4.400,-131.398,399.386,42.365,-124.590,390.453,156.039
4.500,-131.398,399.386,42.365,-124.590,390.453,156.039
4.600,-94.484,433.052,42.365,-124.590,390.453,156.039
4.700,-87.101,439.786,42.365,-124.590,390.453,156.039
4.800,-87.101,439.786,42.365,-124.590,390.453,156.039
4.900,-87.101,439.786,42.365,-124.590,390.453,156.039
5.000,-87.101,439.786,42.365,-124.590,390.453,156.039
5.100,-87.101,439.786,42.365,-124.590,390.453,156.039
5.200,-87.101,439.786,42.365,-124.590,390.453,156.039
5.300,-87.101,439.786,48.365,-124.590,390.453,156.039
5.400,-87.101,439.786,54.365,-124.590,390.453,156.039
5.500,-87.101,439.786,60.365,-124.590,390.453,156.039
5.600,-87.101,439.786,69.365,-124.590,390.453,156.039
5.700,-87.101,439.786,81.365,-124.590,390.453,156.039
5.800,-87.101,439.786,90.365,-124.590,390.453,156.039
5.900,-87.101,439.786,99.365,-124.590,390.453,156.039
6.000,-87.101,439.786,102.365,-124.590,390.453,156.039
6.100,-87.101,439.786,114.365,-124.590,390.453,156.039
6.200,-87.101,439.786,114.365,-124.590,390.453,156.039
6.300,-87.101,439.786,120.365,-124.590,390.453,156.039
6.400,-87.101,439.786,129.365,-124.590,390.453,156.039
6.500,-87.101,439.786,141.365,-124.590,390.453,156.039
6.600,-87.101,439.786,141.365,-124.590,390.453,156.039
6.700,-87.101,439.786,141.365,-124.590,390.453,156.039
6.800,-87.101,439.786,141.365,-124.590,390.453,156.039
6.900,-112.056,408.564,141.365,-124.590,390.453,156.039
7.000,-112.056,408.564,141.365,-124.590,390.453,156.039
7.100,-112.056,408.564,141.365,-124.590,390.453,156.039
7.200,-124.533,392.954,141.365,-124.590,390.453,156.039
7.300,-124.533,392.954,141.365,-124.590,390.453,156.039
7.400,-124.533,392.954,141.365,-124.590,390.453,156.039
7.500,-124.533,392.954,141.365,-124.590,390.453,156.039
7.600,-93.312,367.999,141.365,-124.590,390.453,156.039
7.700,-85.507,361.760,141.365,-124.590,390.453,156.039
7.800,-85.507,361.760,141.365,-124.590,390.453,156.039
7.900,-85.507,361.760,141.365,-124.590,390.453,156.039
8.000,-85.507,361.760,141.365,-124.590,390.453,156.039
8.100,-85.507,361.760,141.365,-124.590,390.453,156.039
8.200,-85.507,361.760,141.365,-124.590,390.453,156.039
8.300,-85.507,361.760,141.365,-124.590,390.453,156.039
8.400,-85.507,361.760,141.365,-124.590,390.453,156.039
8.500,-116.728,386.715,141.365,-124.590,390.453,156.039
8.600,-116.728,386.715,141.365,-124.590,390.453,156.039
8.700,-116.728,386.715,141.365,-124.590,390.453,156.039
8.800,-116.728,386.715,141.365,-124.590,390.453,156.039
8.900,-116.728,386.715,141.365,-124.590,390.453,156.039
9.000,-116.728,386.715,141.365,-124.590,390.453,156.039
