elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz,distance,angle
0.100,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.200,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.300,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.400,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.500,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.600,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.700,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.800,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
0.900,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
1.000,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
1.100,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
1.200,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
1.300,-347.892,24.964,-111.240,401.912,128.924,55.687,756.977,166.927
1.400,-338.560,21.337,-111.240,401.912,128.924,55.687,748.247,166.927
1.500,-282.625,-0.403,-111.240,401.912,128.924,55.687,696.647,166.927
1.600,-227.484,-24.082,-113.240,401.912,128.924,55.687,647.727,168.927
1.700,-172.349,-47.758,-113.240,401.912,128.924,55.687,600.826,168.927
1.800,-117.198,-71.441,-113.240,401.912,128.924,55.687,556.436,168.927
1.900,-59.683,-88.192,-101.240,401.912,128.924,55.687,510.107,156.927
2.000,0.059,-92.620,-89.240,401.912,128.924,55.687,458.876,144.927
2.100,59.417,-84.530,-77.240,401.912,128.924,55.687,403.566,132.927
2.200,116.973,-67.560,-73.240,401.912,128.924,55.687,346.116,128.927
2.300,174.427,-50.257,-73.240,401.912,128.924,55.687,289.578,128.927
2.400,231.899,-32.949,-73.240,401.912,128.924,55.687,234.749,128.927
2.500,241.466,-30.067,-73.240,401.912,128.924,55.687,225.878,128.927
2.600,241.466,-30.067,-65.240,401.912,128.924,55.687,225.878,120.927
2.700,267.941,-15.935,-61.240,401.912,128.924,55.687,197.312,116.927
2.800,320.542,12.935,-61.240,401.912,128.924,55.687,141.685,116.927
2.900,373.160,41.815,-61.240,401.912,128.924,55.687,91.731,116.927
3.000,416.992,65.873,-61.240,401.912,128.924,55.687,64.830,116.927
3.100,416.992,65.873,-57.240,401.912,128.924,55.687,64.830,112.927
3.200,416.992,65.873,-45.240,401.912,128.924,55.687,64.830,100.927
3.300,416.992,65.873,-33.240,401.912,128.924,55.687,64.830,88.927
3.400,416.992,65.873,-21.240,401.912,128.924,55.687,64.830,76.927
3.500,416.992,65.873,-9.240,401.912,128.924,55.687,64.830,64.927
3.600,416.992,65.873,2.760,401.912,128.924,55.687,64.830,52.927
3.700,416.992,65.873,14.760,401.912,128.924,55.687,64.830,40.927
3.800,416.992,65.873,22.760,401.912,128.924,55.687,64.830,32.927
3.900,416.992,65.873,30.760,401.912,128.924,55.687,64.830,24.927
4.000,416.992,65.873,40.760,401.912,128.924,55.687,64.830,14.927
4.100,416.992,65.873,52.760,401.912,128.924,55.687,64.830,2.927
4.200,416.992,65.873,48.760,401.912,128.924,55.687,64.830,6.927
4.300,416.992,65.873,46.760,401.912,128.924,55.687,64.830,8.927
4.400,416.992,65.873,46.760,401.912,128.924,55.687,64.830,8.927
4.500,416.992,65.873,46.760,401.912,128.924,55.687,64.830,8.927
4.600,416.992,65.873,52.760,401.912,128.924,55.687,64.830,2.927
4.700,416.992,65.873,54.760,401.912,128.924,55.687,64.830,0.927
4.800,416.992,65.873,60.760,401.912,128.924,55.687,64.830,5.073
4.900,416.992,65.873,62.760,401.912,128.924,55.687,64.830,7.073
5.000,416.992,65.873,62.760,401.912,128.924,55.687,64.830,7.073
5.100,416.992,65.873,62.760,401.912,128.924,55.687,64.830,7.073
5.200,408.091,70.455,62.760,401.912,128.924,55.687,58.794,7.073
5.300,354.731,97.925,62.760,401.912,128.924,55.687,56.453,7.073
5.400,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
5.500,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
5.600,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
5.700,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
5.800,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
5.900,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
6.000,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
6.100,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
6.200,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
6.300,345.847,102.499,62.760,401.912,128.924,55.687,61.981,7.073
6.400,372.533,88.760,62.760,401.912,128.924,55.687,49.762,7.073
6.500,381.417,84.187,62.760,401.912,128.924,55.687,49.208,7.073
6.600,381.417,84.187,62.760,401.912,128.924,55.687,49.208,7.073
6.700,381.417,84.187,62.760,401.912,128.924,55.687,49.208,7.073
6.800,381.417,84.187,62.760,401.912,128.924,55.687,49.208,7.073
6.900,395.156,110.875,62.760,401.912,128.924,55.687,19.272,7.073
