elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.200,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.300,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.400,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.500,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.600,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.700,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.800,375.813,-487.500,-52.443,-654.822,488.429,74.757
0.900,375.813,-487.500,-56.443,-654.822,488.429,74.757
1.000,375.813,-487.500,-56.443,-654.822,488.429,74.757
1.100,375.813,-487.500,-54.443,-654.822,488.429,74.757
1.200,375.813,-487.500,-42.443,-654.822,488.429,74.757
1.300,375.813,-487.500,-30.443,-654.822,488.429,74.757
1.400,375.813,-487.500,-18.443,-654.822,488.429,74.757
1.500,375.813,-487.500,-6.443,-654.822,488.429,74.757
1.600,375.813,-487.500,-4.443,-654.822,488.429,74.757
1.700,375.813,-487.500,3.557,-654.822,488.429,74.757
1.800,375.813,-487.500,15.557,-654.822,488.429,74.757
1.900,375.813,-487.500,27.557,-654.822,488.429,74.757
2.000,375.813,-487.500,39.557,-654.822,488.429,74.757
2.100,368.439,-480.757,47.557,-654.822,488.429,74.757
2.200,323.274,-441.343,49.557,-654.822,488.429,74.757
2.300,275.527,-405.219,57.557,-654.822,488.429,74.757
2.400,223.839,-374.842,59.557,-654.822,488.429,74.757
2.500,171.648,-345.382,63.557,-654.822,488.429,74.757
2.600,117.967,-318.685,63.557,-654.822,488.429,74.757
2.700,66.909,-287.466,53.557,-654.822,488.429,74.757
2.800,22.711,-247.047,43.557,-654.822,488.429,74.757
2.900,-15.953,-201.333,35.557,-654.822,488.429,74.757
3.000,-44.562,-148.768,23.557,-654.822,488.429,74.757
3.100,-61.616,-91.403,11.557,-654.822,488.429,74.757
3.200,-71.570,-32.282,9.557,-654.822,488.429,74.757
3.300,-85.613,25.954,15.557,-654.822,488.429,74.757
3.400,-104.997,82.601,23.557,-654.822,488.429,74.757
3.500,-135.423,134.136,35.557,-654.822,488.429,74.757
3.600,-173.058,180.794,39.557,-654.822,488.429,74.757
3.700,-214.842,223.726,47.557,-654.822,488.429,74.757
3.800,-260.239,262.878,49.557,-654.822,488.429,74.757
3.900,-305.866,301.769,49.557,-654.822,488.429,74.757
4.000,-351.494,340.660,49.557,-654.822,488.429,74.757
4.100,-397.121,379.551,49.557,-654.822,488.429,74.757
4.200,-442.749,418.442,49.557,-654.822,488.429,74.757
4.300,-488.376,457.333,49.557,-654.822,488.429,74.757
4.400,-534.004,487.500,49.557,-654.822,488.429,74.757
4.500,-580.922,487.500,55.557,-654.822,488.429,74.757
4.600,-634.034,487.500,67.557,-654.822,488.429,74.757
4.700,-634.034,487.500,79.557,-654.822,488.429,74.757
4.800,-634.034,487.500,83.557,-654.822,488.429,74.757
4.900,-634.034,487.500,83.557,-654.822,488.429,74.757
5.000,-634.034,487.500,83.557,-654.822,488.429,74.757
5.100,-634.034,487.500,83.557,-654.822,488.429,74.757
5.200,-634.034,487.500,77.557,-654.822,488.429,74.757
5.300,-634.034,487.500,77.557,-654.822,488.429,74.757
5.400,-634.034,487.500,81.557,-654.822,488.429,74.757
5.500,-634.034,487.500,81.557,-654.822,488.429,74.757
