elapsed_time,walker_posx, walker_posy, walker_rotz,shadow_posx, shadow_posy, shadow_rotz,distanceangle
0.100,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.200,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.300,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.400,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.500,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.600,444.842,-188.855,-42.377,249.400,-97.351,-65.391,215.802,23.015
0.700,444.842,-188.855,-42.377,249.400,-97.351,-65.391,215.802,23.015
0.800,444.842,-188.855,-54.377,249.400,-97.351,-65.391,215.802,11.015
0.900,444.842,-188.855,-64.377,249.400,-97.351,-65.391,215.802,1.015
1.000,444.842,-188.855,-74.377,249.400,-97.351,-65.391,215.802,8.985
1.100,444.842,-188.855,-70.377,249.400,-97.351,-65.391,215.802,4.985
1.200,444.842,-188.855,-58.377,249.400,-97.351,-65.391,215.802,7.015
1.300,444.842,-188.855,-46.377,249.400,-97.351,-65.391,215.802,19.015
1.400,444.842,-188.855,-34.377,249.400,-97.351,-65.391,215.802,31.015
1.500,444.842,-188.855,-24.377,249.400,-97.351,-65.391,215.802,41.015
1.600,444.842,-188.855,-12.377,249.400,-97.351,-65.391,215.802,53.015
1.700,444.842,-188.855,-0.377,249.400,-97.351,-65.391,215.802,65.015
1.800,444.842,-188.855,9.623,249.400,-97.351,-65.391,215.802,75.015
1.900,444.842,-188.855,9.623,249.400,-97.351,-65.391,215.802,75.015
2.000,444.842,-188.855,9.623,249.400,-97.351,-65.391,215.802,75.015
2.100,444.842,-188.855,9.623,249.400,-97.351,-65.391,215.802,75.015
2.200,444.842,-188.855,19.623,249.400,-97.351,-65.391,215.802,85.015
2.300,444.842,-188.855,31.623,249.400,-97.351,-65.391,215.802,97.015
2.400,444.842,-188.855,43.623,249.400,-97.351,-65.391,215.802,109.015
2.500,444.842,-188.855,41.623,249.400,-97.351,-65.391,215.802,107.015
2.600,444.842,-188.855,31.623,249.400,-97.351,-65.391,215.802,97.015
2.700,444.842,-188.855,19.623,249.400,-97.351,-65.391,215.802,85.015
2.800,444.842,-188.855,7.623,249.400,-97.351,-65.391,215.802,73.015
2.900,444.842,-188.855,-0.377,249.400,-97.351,-65.391,215.802,65.015
3.000,451.243,-139.407,-12.377,249.400,-97.351,-65.391,206.178,53.015
3.100,466.135,-91.821,-22.377,249.400,-97.351,-65.391,216.805,43.015
3.200,485.150,-45.632,-22.377,249.400,-97.351,-65.391,241.356,43.015
3.300,500.060,2.012,-14.377,249.400,-97.351,-65.391,269.635,51.015
3.400,509.332,51.038,-6.377,249.400,-97.351,-65.391,299.306,59.015
3.500,508.790,100.896,5.623,249.400,-97.351,-65.391,326.473,71.015
3.600,497.894,149.552,17.623,249.400,-97.351,-65.391,350.300,83.015
3.700,483.893,197.461,13.623,249.400,-97.351,-65.391,376.697,79.015
3.800,472.412,246.069,11.623,249.400,-97.351,-65.391,409.477,77.015
3.900,463.779,295.243,7.623,249.400,-97.351,-65.391,447.312,73.015
4.000,463.237,345.101,-4.377,249.400,-97.351,-65.391,491.416,61.015
4.100,469.649,394.630,-8.377,249.400,-97.351,-65.391,539.031,57.015
4.200,478.073,443.858,-10.377,249.400,-97.351,-65.391,587.536,55.015
4.300,487.070,492.991,-10.377,249.400,-97.351,-65.391,636.389,55.015
4.400,496.067,542.124,-10.377,249.400,-97.351,-65.391,685.400,55.015
4.500,505.064,591.257,-10.377,249.400,-97.351,-65.391,734.537,55.015
4.600,513.201,600.511,-8.377,249.400,-97.351,-65.391,746.058,57.015
4.700,520.478,600.511,-8.377,249.400,-97.351,-65.391,748.662,57.015
4.800,527.755,600.511,-8.377,249.400,-97.351,-65.391,751.328,57.015
4.900,535.032,600.511,-8.377,249.400,-97.351,-65.391,754.054,57.015
5.000,541.668,600.511,-4.377,249.400,-97.351,-65.391,756.592,61.015
