elapsed_time,player_posx,player_posy,player_rotz,target_posx,target_posy,target_rotz
0.100,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.200,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.300,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.400,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.500,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.600,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.700,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.800,643.762,-396.602,-162.351,-671.275,391.333,152.986
0.900,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.000,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.100,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.200,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.300,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.400,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.500,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.600,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.700,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.800,643.762,-396.602,-162.351,-671.275,391.333,152.986
1.900,643.762,-396.602,-162.351,-671.275,391.333,152.986
2.000,634.673,-368.037,-162.351,-671.275,391.333,152.986
2.100,616.496,-310.906,-162.351,-671.275,391.333,152.986
2.200,598.319,-253.775,-162.351,-671.275,391.333,152.986
2.300,580.142,-196.644,-162.351,-671.275,391.333,152.986
2.400,561.964,-139.513,-162.351,-671.275,391.333,152.986
2.500,543.787,-82.381,-162.351,-671.275,391.333,152.986
2.600,525.610,-25.250,-162.351,-671.275,391.333,152.986
2.700,545.520,43.999,-162.351,-671.275,391.333,152.986
2.800,584.473,119.307,-162.351,-671.275,391.333,152.986
2.900,623.427,194.616,-162.351,-671.275,391.333,152.986
3.000,643.337,263.865,-162.351,-671.275,391.333,152.986
3.100,625.159,320.996,-162.351,-671.275,391.333,152.986
3.200,606.982,378.127,-162.351,-671.275,391.333,152.986
3.300,588.805,435.258,-162.351,-671.275,391.333,152.986
3.400,570.628,487.500,-162.351,-671.275,391.333,152.986
3.500,552.450,487.500,-162.351,-671.275,391.333,152.986
3.600,549.421,487.500,-162.351,-671.275,391.333,152.986
3.700,549.421,487.500,-162.351,-671.275,391.333,152.986
3.800,549.421,487.500,-162.351,-671.275,391.333,152.986
3.900,606.552,487.500,-162.351,-671.275,391.333,152.986
4.000,663.683,487.500,-162.351,-671.275,391.333,152.986
4.100,720.814,487.500,-162.351,-671.275,391.333,152.986
4.200,768.423,487.500,-162.351,-671.275,391.333,152.986
4.300,768.423,487.500,-162.351,-671.275,391.333,152.986
4.400,749.380,481.441,-162.351,-671.275,391.333,152.986
4.500,692.249,463.263,-162.351,-671.275,391.333,152.986
4.600,632.552,444.270,-162.351,-671.275,391.333,152.986
4.700,575.375,426.078,-162.351,-671.275,391.333,152.986
4.800,518.217,407.892,-162.351,-671.275,391.333,152.986
4.900,460.988,389.683,-162.351,-671.275,391.333,152.986
5.000,403.803,371.489,-162.351,-671.275,391.333,152.986
5.100,346.617,353.294,-162.351,-671.275,391.333,152.986
5.200,327.555,347.229,-162.351,-671.275,391.333,152.986
5.300,327.555,347.229,-162.351,-671.275,391.333,152.986
5.400,327.555,347.229,-162.351,-671.275,391.333,152.986
5.500,327.555,347.229,-162.351,-671.275,391.333,152.986
5.600,279.899,332.066,-162.351,-671.275,391.333,152.986
5.700,232.271,316.912,-162.351,-671.275,391.333,152.986
5.800,232.271,316.912,-162.351,-671.275,391.333,152.986
5.900,232.271,316.912,-162.351,-671.275,391.333,152.986
6.000,232.271,316.912,-162.351,-671.275,391.333,152.986
6.100,232.271,316.912,-162.351,-671.275,391.333,152.986
6.200,232.271,316.912,-162.351,-671.275,391.333,152.986
6.300,232.271,316.912,-162.351,-671.275,391.333,152.986
6.400,232.271,316.912,-162.351,-671.275,391.333,152.986
6.500,232.271,316.912,-162.351,-671.275,391.333,152.986
6.600,232.271,316.912,-162.351,-671.275,391.333,152.986
6.700,232.271,316.912,-162.351,-671.275,391.333,152.986
6.800,232.271,316.912,-162.351,-671.275,391.333,152.986
6.900,232.271,316.912,-153.351,-671.275,391.333,152.986
7.000,232.271,316.912,-135.351,-671.275,391.333,152.986
7.100,266.394,365.916,-117.351,-671.275,391.333,152.986
7.200,283.703,423.066,-99.351,-671.275,391.333,152.986
7.300,282.506,482.768,-81.351,-671.275,391.333,152.986
7.400,262.917,487.500,-63.351,-671.275,391.333,152.986
7.500,226.857,487.500,-45.351,-671.275,391.333,152.986
7.600,177.853,487.500,-27.351,-671.275,391.333,152.986
7.700,120.703,487.500,-9.351,-671.275,391.333,152.986
7.800,61.001,484.552,8.649,-671.275,391.333,152.986
7.900,4.592,464.964,26.649,-671.275,391.333,152.986
8.000,-43.004,428.903,44.649,-671.275,391.333,152.986
8.100,-77.127,379.899,62.649,-671.275,391.333,152.986
8.200,-90.675,342.370,74.649,-671.275,391.333,152.986
8.300,-90.675,342.370,74.649,-671.275,391.333,152.986
8.400,-90.675,342.370,74.649,-671.275,391.333,152.986
8.500,-90.675,342.370,74.649,-671.275,391.333,152.986
8.600,-90.675,342.370,74.649,-671.275,391.333,152.986
8.700,-90.675,342.370,74.649,-671.275,391.333,152.986
8.800,-138.854,355.596,74.649,-671.275,391.333,152.986
8.900,-196.668,371.467,74.649,-671.275,391.333,152.986
9.000,-254.482,387.338,74.649,-671.275,391.333,152.986
9.100,-312.297,403.210,74.649,-671.275,391.333,152.986
9.200,-370.111,419.081,74.649,-671.275,391.333,152.986
9.300,-427.925,434.952,74.649,-671.275,391.333,152.986
9.400,-485.739,450.823,74.649,-671.275,391.333,152.986
9.500,-543.553,466.694,74.649,-671.275,391.333,152.986
9.600,-543.553,466.694,74.649,-671.275,391.333,152.986
9.700,-543.553,466.694,74.649,-671.275,391.333,152.986
9.800,-543.553,466.694,86.649,-671.275,391.333,152.986
9.900,-543.553,466.694,92.649,-671.275,391.333,152.986
10.000,-542.630,446.731,92.649,-671.275,391.333,152.986
10.100,-539.859,386.842,92.649,-671.275,391.333,152.986
10.200,-539.859,386.842,92.649,-671.275,391.333,152.986
10.300,-538.935,366.879,92.649,-671.275,391.333,152.986
10.400,-537.549,336.935,92.649,-671.275,391.333,152.986
10.500,-537.549,336.935,92.649,-671.275,391.333,152.986
10.600,-537.549,336.935,92.649,-671.275,391.333,152.986
10.700,-537.549,336.935,92.649,-671.275,391.333,152.986
10.800,-537.549,336.935,92.649,-671.275,391.333,152.986
10.900,-577.475,335.087,92.649,-671.275,391.333,152.986
11.000,-577.475,335.087,92.649,-671.275,391.333,152.986
11.100,-577.475,335.087,92.649,-671.275,391.333,152.986
11.200,-577.475,335.087,92.649,-671.275,391.333,152.986
11.300,-576.090,305.143,92.649,-671.275,391.333,152.986
11.400,-574.242,265.217,92.649,-671.275,391.333,152.986
11.500,-574.242,265.217,92.649,-671.275,391.333,152.986
11.600,-574.242,265.217,92.649,-671.275,391.333,152.986
11.700,-574.242,265.217,92.649,-671.275,391.333,152.986
11.800,-574.242,265.217,92.649,-671.275,391.333,152.986
11.900,-574.242,265.217,92.649,-671.275,391.333,152.986
12.000,-574.242,265.217,92.649,-671.275,391.333,152.986
12.100,-574.242,265.217,92.649,-671.275,391.333,152.986
12.200,-574.242,265.217,110.649,-671.275,391.333,152.986
12.300,-574.242,265.217,128.649,-671.275,391.333,152.986
12.400,-574.242,265.217,146.649,-671.275,391.333,152.986
12.500,-574.242,265.217,152.649,-671.275,391.333,152.986
12.600,-574.242,265.217,152.649,-671.275,391.333,152.986
12.700,-574.242,265.217,152.649,-671.275,391.333,152.986
12.800,-574.242,265.217,152.649,-671.275,391.333,152.986
12.900,-574.242,265.217,152.649,-671.275,391.333,152.986
13.000,-574.242,265.217,152.649,-671.275,391.333,152.986
13.100,-574.242,265.217,152.649,-671.275,391.333,152.986
13.200,-574.242,265.217,152.649,-671.275,391.333,152.986
13.300,-546.698,318.468,152.649,-671.275,391.333,152.986
13.400,-523.744,362.844,152.649,-671.275,391.333,152.986
13.500,-523.744,362.844,152.649,-671.275,391.333,152.986
13.600,-523.744,362.844,152.649,-671.275,391.333,152.986
13.700,-523.744,362.844,152.649,-671.275,391.333,152.986
13.800,-523.744,362.844,152.649,-671.275,391.333,152.986
13.900,-523.744,362.844,152.649,-671.275,391.333,152.986
14.000,-523.744,362.844,152.649,-671.275,391.333,152.986
14.100,-523.744,362.844,152.649,-671.275,391.333,152.986
14.200,-523.744,362.844,152.649,-671.275,391.333,152.986
14.300,-523.744,362.844,152.649,-671.275,391.333,152.986
14.400,-559.245,381.207,152.649,-671.275,391.333,152.986
14.500,-594.745,399.570,152.649,-671.275,391.333,152.986
14.600,-594.745,399.570,152.649,-671.275,391.333,152.986
14.700,-594.745,399.570,152.649,-671.275,391.333,152.986
14.800,-621.371,413.342,152.649,-671.275,391.333,152.986
14.900,-621.371,413.342,152.649,-671.275,391.333,152.986
15.000,-621.371,413.342,152.649,-671.275,391.333,152.986
15.100,-630.246,417.933,152.649,-671.275,391.333,152.986
15.200,-674.622,440.887,152.649,-671.275,391.333,152.986
15.300,-674.622,440.887,152.649,-671.275,391.333,152.986
15.400,-674.622,440.887,152.649,-671.275,391.333,152.986
15.500,-674.622,440.887,152.649,-671.275,391.333,152.986
15.600,-674.622,440.887,152.649,-671.275,391.333,152.986
15.700,-674.622,440.887,152.649,-671.275,391.333,152.986
15.800,-665.747,436.296,152.649,-671.275,391.333,152.986
15.900,-639.121,422.524,152.649,-671.275,391.333,152.986
16.000,-639.121,422.524,152.649,-671.275,391.333,152.986
16.100,-639.121,422.524,152.649,-671.275,391.333,152.986
16.200,-639.121,422.524,152.649,-671.275,391.333,152.986
16.300,-652.894,395.898,152.649,-671.275,391.333,152.986
16.400,-652.894,395.898,152.649,-671.275,391.333,152.986
16.500,-652.894,395.898,152.649,-671.275,391.333,152.986
16.600,-652.894,395.898,152.649,-671.275,391.333,152.986
16.700,-652.894,395.898,152.649,-671.275,391.333,152.986
16.800,-652.894,395.898,152.649,-671.275,391.333,152.986
16.900,-670.644,405.080,152.649,-671.275,391.333,152.986
17.000,-697.270,418.852,152.649,-671.275,391.333,152.986
17.100,-697.270,418.852,152.649,-671.275,391.333,152.986
17.200,-697.270,418.852,152.649,-671.275,391.333,152.986
17.300,-697.270,418.852,152.649,-671.275,391.333,152.986
17.400,-697.270,418.852,152.649,-671.275,391.333,152.986
17.500,-661.769,400.489,152.649,-671.275,391.333,152.986
17.600,-661.769,400.489,152.649,-671.275,391.333,152.986
17.700,-661.769,400.489,152.649,-671.275,391.333,152.986
17.800,-661.769,400.489,152.649,-671.275,391.333,152.986
17.900,-661.769,400.489,152.649,-671.275,391.333,152.986
