elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,706.687,272.512,-114.914,-294.922,-220.382,52.521,1116.317,167.435
0.200,706.687,272.512,-114.914,-294.922,-220.382,52.521,1116.317,167.435
0.300,706.687,272.512,-114.914,-294.922,-220.382,52.521,1116.317,167.435
0.400,706.687,272.512,-114.914,-294.922,-220.382,52.521,1116.317,167.435
0.500,706.687,272.512,-114.914,-294.922,-220.382,52.521,1116.317,167.435
0.600,706.687,272.512,-112.914,-294.922,-220.382,52.521,1116.317,165.435
0.700,706.687,272.512,-100.914,-294.922,-220.382,52.521,1116.317,153.435
0.800,706.687,272.512,-88.914,-294.922,-220.382,52.521,1116.317,141.435
0.900,706.687,272.512,-88.914,-294.922,-220.382,52.521,1116.317,141.435
1.000,706.687,272.512,-96.914,-294.922,-220.382,52.521,1116.317,149.435
1.100,706.687,272.512,-106.914,-294.922,-220.382,52.521,1116.317,159.435
1.200,706.687,272.512,-116.914,-294.922,-220.382,52.521,1116.317,169.435
1.300,706.687,272.512,-128.914,-294.922,-220.382,52.521,1116.317,178.565
1.400,706.687,272.512,-134.914,-294.922,-220.382,52.521,1116.317,172.565
1.500,706.687,272.512,-134.914,-294.922,-220.382,52.521,1116.317,172.565
1.600,706.687,272.512,-134.914,-294.922,-220.382,52.521,1116.317,172.565
1.700,706.687,272.512,-138.914,-294.922,-220.382,52.521,1116.317,168.565
1.800,706.687,272.512,-148.914,-294.922,-220.382,52.521,1116.317,158.565
1.900,706.687,272.512,-158.914,-294.922,-220.382,52.521,1116.317,148.565
2.000,706.687,272.512,-170.914,-294.922,-220.382,52.521,1116.317,136.565
2.100,706.687,272.512,-174.914,-294.922,-220.382,52.521,1116.317,132.565
2.200,706.687,272.512,-174.914,-294.922,-220.382,52.521,1116.317,132.565
2.300,706.687,272.512,-174.914,-294.922,-220.382,52.521,1116.317,132.565
2.400,706.687,272.512,175.086,-294.922,-220.382,52.521,1116.317,122.565
2.500,706.687,272.512,163.086,-294.922,-220.382,52.521,1116.317,110.565
2.600,706.687,272.512,151.086,-294.922,-220.382,52.521,1116.317,98.565
2.700,706.687,272.512,139.086,-294.922,-220.382,52.521,1116.317,86.565
2.800,706.687,272.512,133.086,-294.922,-220.382,52.521,1116.317,80.565
2.900,706.687,272.512,133.086,-294.922,-220.382,52.521,1116.317,80.565
3.000,706.687,272.512,135.086,-294.922,-220.382,52.521,1116.317,82.565
3.100,706.687,272.512,131.086,-294.922,-220.382,52.521,1116.317,78.565
3.200,706.687,272.512,131.086,-294.922,-220.382,52.521,1116.317,78.565
3.300,706.687,272.512,137.086,-294.922,-220.382,52.521,1116.317,84.565
3.400,706.687,272.512,139.086,-294.922,-220.382,52.521,1116.317,86.565
3.500,706.687,272.512,139.086,-294.922,-220.382,52.521,1116.317,86.565
3.600,690.330,253.639,139.086,-294.922,-220.382,52.521,1093.351,86.565
3.700,657.617,215.891,139.086,-294.922,-220.382,52.521,1047.695,86.565
3.800,624.904,178.144,139.086,-294.922,-220.382,52.521,1002.448,86.565
3.900,591.974,140.591,137.086,-294.922,-220.382,52.521,957.542,84.565
4.000,556.917,105.017,135.086,-294.922,-220.382,52.521,911.873,82.565
4.100,521.650,69.643,135.086,-294.922,-220.382,52.521,866.547,82.565
4.200,485.979,34.688,133.086,-294.922,-220.382,52.521,821.502,80.565
4.300,446.352,4.369,123.086,-294.922,-220.382,52.521,774.596,70.565
4.400,403.575,-21.422,121.086,-294.922,-220.382,52.521,726.280,68.565
4.500,360.799,-47.212,121.086,-294.922,-220.382,52.521,678.201,68.565
4.600,318.022,-73.003,121.086,-294.922,-220.382,52.521,630.413,68.565
4.700,275.245,-98.794,121.086,-294.922,-220.382,52.521,582.987,68.565
4.800,233.086,-125.569,123.086,-294.922,-220.382,52.521,536.452,70.565
4.900,191.235,-152.837,123.086,-294.922,-220.382,52.521,490.826,70.565
5.000,149.385,-180.105,123.086,-294.922,-220.382,52.521,446.128,70.565
5.100,107.534,-207.372,123.086,-294.922,-220.382,52.521,402.666,70.565
5.200,65.683,-234.640,123.086,-294.922,-220.382,52.521,360.887,70.565
5.300,23.833,-261.908,123.086,-294.922,-220.382,52.521,321.448,70.565
5.400,-18.909,-287.678,117.086,-294.922,-220.382,52.521,284.098,64.565
5.500,-41.875,-297.467,105.086,-294.922,-220.382,52.521,264.528,52.565
5.600,-41.875,-297.467,97.086,-294.922,-220.382,52.521,264.528,44.565
5.700,-41.875,-297.467,87.086,-294.922,-220.382,52.521,264.528,34.565
5.800,-41.875,-297.467,81.086,-294.922,-220.382,52.521,264.528,28.565
5.900,-41.875,-297.467,79.086,-294.922,-220.382,52.521,264.528,26.565
6.000,-82.747,-289.586,79.086,-294.922,-220.382,52.521,223.176,26.565
6.100,-132.103,-282.139,85.086,-294.922,-220.382,52.521,174.137,32.565
6.200,-165.321,-279.866,89.086,-294.922,-220.382,52.521,142.600,36.565
6.300,-165.321,-279.866,91.086,-294.922,-220.382,52.521,142.600,38.565
6.400,-198.397,-283.686,97.086,-294.922,-220.382,52.521,115.431,44.565
6.500,-247.843,-290.711,99.086,-294.922,-220.382,52.521,84.631,46.565
6.600,-247.843,-290.711,93.086,-294.922,-220.382,52.521,84.631,40.565
6.700,-247.843,-290.711,83.086,-294.922,-220.382,52.521,84.631,30.565
6.800,-247.843,-290.711,73.086,-294.922,-220.382,52.521,84.631,20.565
6.900,-247.843,-290.711,61.086,-294.922,-220.382,52.521,84.631,8.565
7.000,-247.843,-290.711,49.086,-294.922,-220.382,52.521,84.631,3.435
7.100,-247.843,-290.711,41.086,-294.922,-220.382,52.521,84.631,11.435
7.200,-247.843,-290.711,41.086,-294.922,-220.382,52.521,84.631,11.435
7.300,-247.843,-290.711,45.086,-294.922,-220.382,52.521,84.631,7.435
7.400,-247.843,-290.711,47.086,-294.922,-220.382,52.521,84.631,5.435
7.500,-284.425,-256.700,47.086,-294.922,-220.382,52.521,37.804,5.435
7.600,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
7.700,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
7.800,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
7.900,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
8.000,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
8.100,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
8.200,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
8.300,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
8.400,-314.911,-228.358,47.086,-294.922,-220.382,52.521,21.522,5.435
