elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,657.068,106.513,-164.854,-92.386,281.144,-70.893,769.531,93.961
0.200,657.068,106.513,-164.854,-92.386,281.144,-70.893,769.531,93.961
0.300,657.068,106.513,-160.854,-92.386,281.144,-70.893,769.531,89.961
0.400,657.068,106.513,-154.854,-92.386,281.144,-70.893,769.531,83.961
0.500,657.068,106.513,-144.854,-92.386,281.144,-70.893,769.531,73.961
0.600,657.068,106.513,-132.854,-92.386,281.144,-70.893,769.531,61.961
0.700,657.068,106.513,-122.854,-92.386,281.144,-70.893,769.531,51.961
0.800,657.068,106.513,-134.854,-92.386,281.144,-70.893,769.531,63.961
0.900,657.068,106.513,-146.854,-92.386,281.144,-70.893,769.531,75.961
1.000,657.068,106.513,-158.854,-92.386,281.144,-70.893,769.531,87.961
1.100,657.068,106.513,-158.854,-92.386,281.144,-70.893,769.531,87.961
1.200,657.068,106.513,-156.854,-92.386,281.144,-70.893,769.531,85.961
1.300,657.068,106.513,-168.854,-92.386,281.144,-70.893,769.531,97.961
1.400,657.068,106.513,179.146,-92.386,281.144,-70.893,769.531,109.961
1.500,657.068,106.513,167.146,-92.386,281.144,-70.893,769.531,121.961
1.600,657.068,106.513,155.146,-92.386,281.144,-70.893,769.531,133.961
1.700,657.068,106.513,145.146,-92.386,281.144,-70.893,769.531,143.961
1.800,657.068,106.513,145.146,-92.386,281.144,-70.893,769.531,143.961
1.900,657.068,106.513,145.146,-92.386,281.144,-70.893,769.531,143.961
2.000,657.068,106.513,143.146,-92.386,281.144,-70.893,769.531,145.961
2.100,657.068,106.513,133.146,-92.386,281.144,-70.893,769.531,155.961
2.200,657.068,106.513,121.146,-92.386,281.144,-70.893,769.531,167.961
2.300,657.068,106.513,109.146,-92.386,281.144,-70.893,769.531,179.961
2.400,657.068,106.513,99.146,-92.386,281.144,-70.893,769.531,170.039
2.500,657.068,106.513,93.146,-92.386,281.144,-70.893,769.531,164.039
2.600,640.443,105.599,93.146,-92.386,281.144,-70.893,753.562,164.039
2.700,590.569,102.858,93.146,-92.386,281.144,-70.893,705.842,164.039
2.800,540.694,100.116,93.146,-92.386,281.144,-70.893,658.454,164.039
2.900,490.819,97.375,93.146,-92.386,281.144,-70.893,611.473,164.039
3.000,440.944,94.634,93.146,-92.386,281.144,-70.893,565.002,164.039
3.100,391.026,93.054,91.146,-92.386,281.144,-70.893,518.715,162.039
3.200,341.086,92.055,91.146,-92.386,281.144,-70.893,472.920,162.039
3.300,291.146,91.056,91.146,-92.386,281.144,-70.893,428.054,162.039
3.400,241.206,90.057,91.146,-92.386,281.144,-70.893,384.445,162.039
3.500,191.266,89.058,91.146,-92.386,281.144,-70.893,342.572,162.039
3.600,141.326,88.059,91.146,-92.386,281.144,-70.893,303.156,162.039
3.700,91.386,87.060,91.146,-92.386,281.144,-70.893,267.284,162.039
3.800,41.446,86.061,91.146,-92.386,281.144,-70.893,236.577,162.039
3.900,-8.494,85.062,91.146,-92.386,281.144,-70.893,213.275,162.039
4.000,-58.434,84.063,91.146,-92.386,281.144,-70.893,199.984,162.039
4.100,-108.374,83.064,91.146,-92.386,281.144,-70.893,198.724,162.039
4.200,-158.220,84.968,83.146,-92.386,281.144,-70.893,206.928,154.039
4.300,-182.738,89.669,71.146,-92.386,281.144,-70.893,211.722,142.039
4.400,-182.738,89.669,63.146,-92.386,281.144,-70.893,211.722,134.039
4.500,-182.738,89.669,51.146,-92.386,281.144,-70.893,211.722,122.039
4.600,-182.738,89.669,39.146,-92.386,281.144,-70.893,211.722,110.039
4.700,-182.738,89.669,37.146,-92.386,281.144,-70.893,211.722,108.039
