elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,-244.028,-291.111,-26.036,112.796,-162.018,-36.553,379.458,10.516
0.200,-244.028,-291.111,-26.036,112.796,-162.018,-36.553,379.458,10.516
0.300,-244.028,-291.111,-26.036,112.796,-162.018,-36.553,379.458,10.516
0.400,-244.028,-291.111,-26.036,112.796,-162.018,-36.553,379.458,10.516
0.500,-244.028,-291.111,-30.036,112.796,-162.018,-36.553,379.458,6.516
0.600,-244.028,-291.111,-42.036,112.796,-162.018,-36.553,379.458,5.484
0.700,-244.028,-291.111,-48.036,112.796,-162.018,-36.553,379.458,11.484
0.800,-244.028,-291.111,-48.036,112.796,-162.018,-36.553,379.458,11.484
0.900,-244.028,-291.111,-48.036,112.796,-162.018,-36.553,379.458,11.484
1.000,-244.028,-291.111,-46.036,112.796,-162.018,-36.553,379.458,9.484
1.100,-244.028,-291.111,-48.036,112.796,-162.018,-36.553,379.458,11.484
1.200,-244.028,-291.111,-54.036,112.796,-162.018,-36.553,379.458,17.484
1.300,-244.028,-291.111,-64.036,112.796,-162.018,-36.553,379.458,27.484
1.400,-244.028,-291.111,-64.036,112.796,-162.018,-36.553,379.458,27.484
1.500,-244.028,-291.111,-64.036,112.796,-162.018,-36.553,379.458,27.484
1.600,-236.543,-287.467,-64.036,112.796,-162.018,-36.553,371.181,27.484
1.700,-192.293,-264.303,-62.036,112.796,-162.018,-36.553,321.779,25.484
1.800,-148.175,-240.881,-62.036,112.796,-162.018,-36.553,272.627,25.484
1.900,-104.057,-217.459,-62.036,112.796,-162.018,-36.553,223.828,25.484
2.000,-59.544,-194.813,-64.036,112.796,-162.018,-36.553,175.433,27.484
2.100,-12.549,-178.051,-74.036,112.796,-162.018,-36.553,126.366,37.484
2.200,-12.549,-178.051,-86.036,112.796,-162.018,-36.553,126.366,49.484
2.300,-12.549,-178.051,-94.036,112.796,-162.018,-36.553,126.366,57.484
2.400,-12.549,-178.051,-104.036,112.796,-162.018,-36.553,126.366,67.484
2.500,-12.549,-178.051,-104.036,112.796,-162.018,-36.553,126.366,67.484
2.600,-12.549,-178.051,-104.036,112.796,-162.018,-36.553,126.366,67.484
2.700,27.899,-187.864,-102.036,112.796,-162.018,-36.553,88.744,65.484
2.800,52.538,-191.929,-98.036,112.796,-162.018,-36.553,67.274,61.484
2.900,52.538,-191.929,-90.036,112.796,-162.018,-36.553,67.274,53.484
3.000,52.538,-191.929,-80.036,112.796,-162.018,-36.553,67.274,43.484
3.100,52.538,-191.929,-76.036,112.796,-162.018,-36.553,67.274,39.484
3.200,52.538,-191.929,-72.036,112.796,-162.018,-36.553,67.274,35.484
3.300,76.295,-184.226,-72.036,112.796,-162.018,-36.553,42.727,35.484
3.400,76.295,-184.226,-72.036,112.796,-162.018,-36.553,42.727,35.484
3.500,76.295,-184.226,-72.036,112.796,-162.018,-36.553,42.727,35.484
3.600,107.972,-173.956,-72.036,112.796,-162.018,-36.553,12.876,35.484
3.700,115.891,-171.388,-72.036,112.796,-162.018,-36.553,9.868,35.484
3.800,115.891,-171.388,-68.036,112.796,-162.018,-36.553,9.868,31.484
3.900,115.891,-171.388,-60.036,112.796,-162.018,-36.553,9.868,23.484
4.000,115.891,-171.388,-52.036,112.796,-162.018,-36.553,9.868,15.484
4.100,115.891,-171.388,-52.036,112.796,-162.018,-36.553,9.868,15.484
