elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,469.383,127.819,-48.963,362.103,-76.914,92.385,231.137,141.348
0.200,469.383,127.819,-48.963,362.103,-76.914,92.385,231.137,141.348
0.300,469.383,127.819,-48.963,362.103,-76.914,92.385,231.137,141.348
0.400,469.383,127.819,-40.963,362.103,-76.914,92.385,231.137,133.348
0.500,469.383,127.819,-28.963,362.103,-76.914,92.385,231.137,121.348
0.600,469.383,127.819,-26.963,362.103,-76.914,92.385,231.137,119.348
0.700,469.383,127.819,-38.963,362.103,-76.914,92.385,231.137,131.348
0.800,469.383,127.819,-36.963,362.103,-76.914,92.385,231.137,129.348
0.900,469.383,127.819,-24.963,362.103,-76.914,92.385,231.137,117.348
1.000,469.383,127.819,-12.963,362.103,-76.914,92.385,231.137,105.348
1.100,469.383,127.819,-0.963,362.103,-76.914,92.385,231.137,93.348
1.200,469.383,127.819,9.037,362.103,-76.914,92.385,231.137,83.348
1.300,469.383,127.819,9.037,362.103,-76.914,92.385,231.137,83.348
1.400,469.383,127.819,9.037,362.103,-76.914,92.385,231.137,83.348
1.500,469.383,127.819,13.037,362.103,-76.914,92.385,231.137,79.348
1.600,469.383,127.819,25.037,362.103,-76.914,92.385,231.137,67.348
1.700,469.383,127.819,37.037,362.103,-76.914,92.385,231.137,55.348
1.800,469.383,127.819,39.037,362.103,-76.914,92.385,231.137,53.348
1.900,469.383,127.819,39.037,362.103,-76.914,92.385,231.137,53.348
2.000,469.383,127.819,43.037,362.103,-76.914,92.385,231.137,49.348
2.100,469.383,127.819,55.037,362.103,-76.914,92.385,231.137,37.348
2.200,469.383,127.819,67.037,362.103,-76.914,92.385,231.137,25.348
2.300,469.383,127.819,69.037,362.103,-76.914,92.385,231.137,23.348
2.400,469.383,127.819,69.037,362.103,-76.914,92.385,231.137,23.348
2.500,469.383,127.819,69.037,362.103,-76.914,92.385,231.137,23.348
2.600,469.383,127.819,79.037,362.103,-76.914,92.385,231.137,13.348
2.700,469.383,127.819,89.037,362.103,-76.914,92.385,231.137,3.348
2.800,469.383,127.819,101.037,362.103,-76.914,92.385,231.137,8.652
2.900,469.383,127.819,101.037,362.103,-76.914,92.385,231.137,8.652
3.000,469.383,127.819,101.037,362.103,-76.914,92.385,231.137,8.652
3.100,469.383,127.819,101.037,362.103,-76.914,92.385,231.137,8.652
3.200,469.383,127.819,93.037,362.103,-76.914,92.385,231.137,0.652
3.300,469.383,127.819,103.037,362.103,-76.914,92.385,231.137,10.652
3.400,469.383,127.819,113.037,362.103,-76.914,92.385,231.137,20.652
3.500,469.383,127.819,125.037,362.103,-76.914,92.385,231.137,32.652
3.600,469.383,127.819,133.037,362.103,-76.914,92.385,231.137,40.652
3.700,469.383,127.819,133.037,362.103,-76.914,92.385,231.137,40.652
3.800,469.383,127.819,137.037,362.103,-76.914,92.385,231.137,44.652
3.900,469.383,127.819,147.037,362.103,-76.914,92.385,231.137,54.652
4.000,469.383,127.819,153.037,362.103,-76.914,92.385,231.137,60.652
4.100,469.383,127.819,153.037,362.103,-76.914,92.385,231.137,60.652
4.200,469.383,127.819,153.037,362.103,-76.914,92.385,231.137,60.652
4.300,450.510,90.719,153.037,362.103,-76.914,92.385,189.516,60.652
4.400,427.861,46.198,153.037,362.103,-76.914,92.385,139.573,60.652
4.500,405.474,1.551,155.037,362.103,-76.914,92.385,89.653,62.652
4.600,391.420,-28.638,155.037,362.103,-76.914,92.385,56.480,62.652
4.700,391.420,-28.638,155.037,362.103,-76.914,92.385,56.480,62.652
4.800,391.420,-28.638,167.037,362.103,-76.914,92.385,56.480,74.652
4.900,391.420,-28.638,175.037,362.103,-76.914,92.385,56.480,82.652
5.000,391.420,-28.638,-176.963,362.103,-76.914,92.385,56.480,90.652
5.100,391.420,-28.638,179.037,362.103,-76.914,92.385,56.480,86.652
5.200,390.850,-45.276,177.037,362.103,-76.914,92.385,42.747,84.652
5.300,388.698,-86.845,177.037,362.103,-76.914,92.385,28.389,84.652
5.400,388.698,-86.845,177.037,362.103,-76.914,92.385,28.389,84.652
5.500,388.698,-86.845,177.037,362.103,-76.914,92.385,28.389,84.652
5.600,388.698,-86.845,173.037,362.103,-76.914,92.385,28.389,80.652
5.700,388.698,-86.845,161.037,362.103,-76.914,92.385,28.389,68.652
5.800,388.698,-86.845,149.037,362.103,-76.914,92.385,28.389,56.652
5.900,388.698,-86.845,139.037,362.103,-76.914,92.385,28.389,46.652
6.000,388.698,-86.845,129.037,362.103,-76.914,92.385,28.389,36.652
6.100,388.698,-86.845,119.037,362.103,-76.914,92.385,28.389,26.652
6.200,388.698,-86.845,109.037,362.103,-76.914,92.385,28.389,16.652
6.300,388.698,-86.845,97.037,362.103,-76.914,92.385,28.389,4.652
6.400,388.698,-86.845,85.037,362.103,-76.914,92.385,28.389,7.348
6.500,388.698,-86.845,79.037,362.103,-76.914,92.385,28.389,13.348
6.600,388.698,-86.845,79.037,362.103,-76.914,92.385,28.389,13.348
6.700,388.698,-86.845,81.037,362.103,-76.914,92.385,28.389,11.348
6.800,355.805,-81.657,81.037,362.103,-76.914,92.385,7.885,11.348
6.900,347.582,-80.360,81.037,362.103,-76.914,92.385,14.925,11.348
7.000,347.582,-80.360,83.037,362.103,-76.914,92.385,14.925,9.348
7.100,347.582,-80.360,83.037,362.103,-76.914,92.385,14.925,9.348
7.200,347.582,-80.360,83.037,362.103,-76.914,92.385,14.925,9.348
7.300,347.582,-80.360,83.037,362.103,-76.914,92.385,14.925,9.348
7.400,347.582,-80.360,83.037,362.103,-76.914,92.385,14.925,9.348
7.500,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
7.600,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
7.700,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
7.800,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
7.900,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
8.000,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
8.100,347.582,-80.360,85.037,362.103,-76.914,92.385,14.925,7.348
