elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,-277.717,-419.749,12.966,-276.410,42.318,25.994,462.069,13.028
0.200,-277.717,-419.749,12.966,-276.410,42.318,25.994,462.069,13.028
0.300,-277.717,-419.749,12.966,-276.410,42.318,25.994,462.069,13.028
0.400,-277.717,-419.749,12.966,-276.410,42.318,25.994,462.069,13.028
0.500,-277.717,-419.749,12.966,-276.410,42.318,25.994,462.069,13.028
0.600,-277.717,-419.749,8.966,-276.410,42.318,25.994,462.069,17.028
0.700,-277.717,-419.749,-3.034,-276.410,42.318,25.994,462.069,29.028
0.800,-277.717,-419.749,-7.034,-276.410,42.318,25.994,462.069,33.028
0.900,-277.717,-419.749,-7.034,-276.410,42.318,25.994,462.069,33.028
1.000,-277.717,-419.749,-1.034,-276.410,42.318,25.994,462.069,27.028
1.100,-277.717,-419.749,-1.034,-276.410,42.318,25.994,462.069,27.028
1.200,-277.717,-419.749,-1.034,-276.410,42.318,25.994,462.069,27.028
1.300,-277.717,-419.749,-1.034,-276.410,42.318,25.994,462.069,27.028
1.400,-277.717,-419.749,-1.034,-276.410,42.318,25.994,462.069,27.028
1.500,-277.116,-386.455,-1.034,-276.410,42.318,25.994,428.774,27.028
1.600,-276.215,-336.513,-1.034,-276.410,42.318,25.994,378.831,27.028
1.700,-275.314,-286.571,-1.034,-276.410,42.318,25.994,328.891,27.028
1.800,-274.412,-236.629,-1.034,-276.410,42.318,25.994,278.955,27.028
1.900,-273.511,-186.687,-1.034,-276.410,42.318,25.994,229.024,27.028
2.000,-272.610,-136.746,-1.034,-276.410,42.318,25.994,179.104,27.028
2.100,-271.709,-86.804,-1.034,-276.410,42.318,25.994,129.208,27.028
2.200,-270.807,-36.862,-1.034,-276.410,42.318,25.994,79.378,27.028
2.300,-269.906,13.080,-1.034,-276.410,42.318,25.994,29.953,27.028
2.400,-269.456,38.051,-1.034,-276.410,42.318,25.994,8.159,27.028
2.500,-269.456,38.051,-1.034,-276.410,42.318,25.994,8.159,27.028
2.600,-269.456,38.051,-1.034,-276.410,42.318,25.994,8.159,27.028
2.700,-269.456,38.051,2.966,-276.410,42.318,25.994,8.159,23.028
2.800,-269.456,38.051,8.966,-276.410,42.318,25.994,8.159,17.028
2.900,-269.456,38.051,12.966,-276.410,42.318,25.994,8.159,13.028
3.000,-269.456,38.051,12.966,-276.410,42.318,25.994,8.159,13.028
