elapsed_sec,walker_x,walker_y,walker_rotZ,shadow_x,shadow_y,shadow_rotZ,pos_distance,rot_diff_deg
0.100,43.919,5.521,63.039,268.035,-408.811,51.415,471.062,11.624
0.200,43.919,5.521,55.039,268.035,-408.811,51.415,471.062,3.624
0.300,43.919,5.521,53.039,268.035,-408.811,51.415,471.062,1.624
0.400,43.919,5.521,53.039,268.035,-408.811,51.415,471.062,1.624
0.500,43.919,5.521,51.039,268.035,-408.811,51.415,471.062,0.376
0.600,43.919,5.521,51.039,268.035,-408.811,51.415,471.062,0.376
0.700,43.919,5.521,51.039,268.035,-408.811,51.415,471.062,0.376
0.800,43.919,5.521,59.039,268.035,-408.811,51.415,471.062,7.624
0.900,43.919,5.521,71.039,268.035,-408.811,51.415,471.062,19.624
1.000,43.919,5.521,79.039,268.035,-408.811,51.415,471.062,27.624
1.100,43.919,5.521,89.039,268.035,-408.811,51.415,471.062,37.624
1.200,43.919,5.521,99.039,268.035,-408.811,51.415,471.062,47.624
1.300,43.919,5.521,103.039,268.035,-408.811,51.415,471.062,51.624
1.400,43.919,5.521,103.039,268.035,-408.811,51.415,471.062,51.624
1.500,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
1.600,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
1.700,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
1.800,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
1.900,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
2.000,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
2.100,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
2.200,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
2.300,43.919,5.521,101.039,268.035,-408.811,51.415,471.062,49.624
2.400,43.919,5.521,105.039,268.035,-408.811,51.415,471.062,53.624
2.500,43.919,5.521,117.039,268.035,-408.811,51.415,471.062,65.624
2.600,43.919,5.521,129.039,268.035,-408.811,51.415,471.062,77.624
2.700,43.919,5.521,139.039,268.035,-408.811,51.415,471.062,87.624
2.800,43.919,5.521,151.039,268.035,-408.811,51.415,471.062,99.624
2.900,43.919,5.521,163.039,268.035,-408.811,51.415,471.062,111.624
3.000,43.919,5.521,175.039,268.035,-408.811,51.415,471.062,123.624
3.100,43.919,5.521,-174.961,268.035,-408.811,51.415,471.062,133.624
3.200,43.919,5.521,-162.961,268.035,-408.811,51.415,471.062,145.624
3.300,43.919,5.521,-152.961,268.035,-408.811,51.415,471.062,155.624
3.400,43.919,5.521,-148.961,268.035,-408.811,51.415,471.062,159.624
3.500,43.919,5.521,-150.961,268.035,-408.811,51.415,471.062,157.624
3.600,43.919,5.521,-150.961,268.035,-408.811,51.415,471.062,157.624
3.700,43.919,5.521,-150.961,268.035,-408.811,51.415,471.062,157.624
3.800,43.919,5.521,-150.961,268.035,-408.811,51.415,471.062,157.624
3.900,43.919,5.521,-138.961,268.035,-408.811,51.415,471.062,169.624
4.000,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.100,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.200,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.300,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.400,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.500,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.600,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.700,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.800,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
4.900,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
5.000,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
5.100,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
5.200,43.919,5.521,-130.961,268.035,-408.811,51.415,471.062,177.624
5.300,43.919,5.521,-122.961,268.035,-408.811,51.415,471.062,174.376
5.400,43.919,5.521,-114.961,268.035,-408.811,51.415,471.062,166.376
5.500,43.919,5.521,-102.961,268.035,-408.811,51.415,471.062,154.376
5.600,43.919,5.521,-90.961,268.035,-408.811,51.415,471.062,142.376
5.700,43.919,5.521,-80.961,268.035,-408.811,51.415,471.062,132.376
5.800,43.919,5.521,-76.961,268.035,-408.811,51.415,471.062,128.376
5.900,43.919,5.521,-76.961,268.035,-408.811,51.415,471.062,128.376
6.000,43.919,5.521,-86.961,268.035,-408.811,51.415,471.062,138.376
6.100,43.919,5.521,-98.961,268.035,-408.811,51.415,471.062,150.376
6.200,43.919,5.521,-110.961,268.035,-408.811,51.415,471.062,162.376
6.300,43.919,5.521,-122.961,268.035,-408.811,51.415,471.062,174.376
6.400,43.919,5.521,-134.961,268.035,-408.811,51.415,471.062,173.624
6.500,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
6.600,43.919,5.521,-142.961,268.035,-408.811,51.415,471.062,165.624
6.700,43.919,5.521,-142.961,268.035,-408.811,51.415,471.062,165.624
6.800,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
6.900,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.000,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.100,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.200,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.300,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.400,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.500,43.919,5.521,-140.961,268.035,-408.811,51.415,471.062,167.624
7.600,54.406,-7.411,-140.961,268.035,-408.811,51.415,454.708,167.624
7.700,85.867,-46.208,-140.961,268.035,-408.811,51.415,405.791,167.624
7.800,117.328,-85.005,-140.961,268.035,-408.811,51.415,357.159,167.624
7.900,148.789,-123.802,-140.961,268.035,-408.811,51.415,308.949,167.624
8.000,180.250,-162.599,-140.961,268.035,-408.811,51.415,261.393,167.624
8.100,211.711,-201.396,-140.961,268.035,-408.811,51.415,214.926,167.624
8.200,243.172,-240.193,-140.961,268.035,-408.811,51.415,170.441,167.624
8.300,274.633,-278.990,-140.961,268.035,-408.811,51.415,129.988,167.624
8.400,306.094,-317.787,-140.961,268.035,-408.811,51.415,98.660,167.624
8.500,338.222,-356.023,-138.961,268.035,-408.811,51.415,87.822,169.624
8.600,343.688,-362.302,-138.961,268.035,-408.811,51.415,88.805,169.624
8.700,343.688,-362.302,-142.961,268.035,-408.811,51.415,88.805,165.624
8.800,343.688,-362.302,-154.961,268.035,-408.811,51.415,88.805,153.624
8.900,343.688,-362.302,-166.961,268.035,-408.811,51.415,88.805,141.624
9.000,343.688,-362.302,-174.961,268.035,-408.811,51.415,88.805,133.624
9.100,343.688,-362.302,-174.961,268.035,-408.811,51.415,88.805,133.624
9.200,343.688,-362.302,-178.961,268.035,-408.811,51.415,88.805,129.624
9.300,343.688,-362.302,171.039,268.035,-408.811,51.415,88.805,119.624
9.400,343.688,-362.302,165.039,268.035,-408.811,51.415,88.805,113.624
9.500,339.672,-378.458,167.039,268.035,-408.811,51.415,77.801,115.624
9.600,328.469,-427.136,167.039,268.035,-408.811,51.415,63.151,115.624
9.700,317.265,-437.500,167.039,268.035,-408.811,51.415,56.980,115.624
9.800,309.797,-437.500,167.039,268.035,-408.811,51.415,50.667,115.624
9.900,309.797,-437.500,167.039,268.035,-408.811,51.415,50.667,115.624
10.000,309.797,-437.500,155.039,268.035,-408.811,51.415,50.667,103.624
10.100,309.797,-437.500,143.039,268.035,-408.811,51.415,50.667,91.624
10.200,309.797,-437.500,131.039,268.035,-408.811,51.415,50.667,79.624
10.300,309.797,-437.500,119.039,268.035,-408.811,51.415,50.667,67.624
10.400,309.797,-437.500,111.039,268.035,-408.811,51.415,50.667,59.624
10.500,309.797,-437.500,99.039,268.035,-408.811,51.415,50.667,47.624
10.600,309.797,-437.500,87.039,268.035,-408.811,51.415,50.667,35.624
10.700,309.797,-437.500,83.039,268.035,-408.811,51.415,50.667,31.624
10.800,285.006,-434.473,83.039,268.035,-408.811,51.415,30.766,31.624
10.900,235.625,-426.981,81.039,268.035,-408.811,51.415,37.156,29.624
11.000,219.178,-424.387,81.039,268.035,-408.811,51.415,51.280,29.624
11.100,219.178,-424.387,81.039,268.035,-408.811,51.415,51.280,29.624
11.200,219.178,-424.387,71.039,268.035,-408.811,51.415,51.280,19.624
11.300,219.178,-424.387,69.039,268.035,-408.811,51.415,51.280,17.624
11.400,219.178,-424.387,67.039,268.035,-408.811,51.415,51.280,15.624
11.500,219.178,-424.387,71.039,268.035,-408.811,51.415,51.280,19.624
11.600,219.178,-424.387,75.039,268.035,-408.811,51.415,51.280,23.624
11.700,219.178,-424.387,63.039,268.035,-408.811,51.415,51.280,11.624
11.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
11.900,219.178,-424.387,51.039,268.035,-408.811,51.415,51.280,0.376
12.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
12.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
13.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
14.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
15.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
16.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.400,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.500,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.600,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.700,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.800,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
17.900,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
18.000,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
18.100,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
18.200,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
18.300,219.178,-424.387,53.039,268.035,-408.811,51.415,51.280,1.624
